idx	original	no_punc_lower	adjacent	adjacent_gold	random	random_gold
0	Virðulegi forseti . Ég þakka hv. þingmanni fyrir ræðuna , hún var fróðleg fyrir nýjan þingmann eins og mig .	virðulegi forseti ég þakka hv. þingmanni fyrir ræðuna hún var fróðleg fyrir nýjan þingmann eins og mig	virðulegi forseti ég hv. þakka þingmanni fyrir ræðuna var hún fróðleg fyrir nýjan þingmann eins og mig	O O O O F O O O F O O O O O O O O	virðulegi forseti ég hv. þingmanni fyrir ræðuna hún var fróðleg fyrir þakka nýjan þingmann eins og mig	O O O O O O O O C O O F O O O O O
1	Ég kem hér upp í raun til þess að fá hv. þingmann til að fræða mig aðeins betur .	ég kem hér upp í raun til þess að fá hv. þingmann til að fræða mig aðeins betur	ég kem hér upp í raun til þess að fá hv. þingmann til að mig fræða aðeins betur	O C O O O O O O O C O O O O O F O O	ég kem hér upp í raun til þess að hv. þingmann til að fræða mig aðeins betur fá	O C O O O O O O O O O O O C O O O F
2	Hv. þingmaður ræddi niðurskurðinn til Vinnumálastofnunar og mér finnst það líka athyglisvert að starfsendurhæfingarsjóður dettur alveg út úr tryggingagjaldinu .	hv. þingmaður ræddi niðurskurðinn til vinnumálastofnunar og mér finnst það líka athyglisvert að starfsendurhæfingarsjóður dettur alveg út úr tryggingagjaldinu	hv. ræddi þingmaður niðurskurðinn til vinnumálastofnunar og mér finnst það líka athyglisvert að starfsendurhæfingarsjóður dettur alveg út úr tryggingagjaldinu	O F O O O O O O C O O O O O C O O O O	hv. þingmaður ræddi niðurskurðinn til vinnumálastofnunar dettur og mér finnst það líka athyglisvert að starfsendurhæfingarsjóður alveg út úr tryggingagjaldinu	O O C O O O F O O C O O O O O O O O O
3	Hvað þykir þingmanninum um þá gjörð ríkisstjórnarinnar ?	hvað þykir þingmanninum um þá gjörð ríkisstjórnarinnar	hvað þingmanninum þykir um þá gjörð ríkisstjórnarinnar	O O F O O O O	hvað þykir þingmanninum um þá gjörð ríkisstjórnarinnar	O C O O O O O
4	Við sjáum þetta náttúrlega líka með Fæðingarorlofssjóð , þar er tryggingagjaldið , það sem fer í sjóðinn , lækkað um næstum því helming .	við sjáum þetta náttúrlega líka með fæðingarorlofssjóð þar er tryggingagjaldið það sem fer í sjóðinn lækkað um næstum því helming	sjáum við þetta náttúrlega líka með fæðingarorlofssjóð þar er tryggingagjaldið það sem fer í sjóðinn um lækkað næstum því helming	F O O O O O O O C O O O C O O O F O O O	við þetta náttúrlega líka með fæðingarorlofssjóð þar er tryggingagjaldið það sem í sjóðinn lækkað um næstum fer sjáum því helming	O O O O O O O C O O O O O C O O F F O O
5	Mig langar að spyrja svolítið um reynslu þingmannsins í þessum efnum , því að ég er að læra það hér á þingi og í nefndarstörfum að þetta er bara gert án nokkurs samráðs við þá er eiga í hlut , atvinnulífið og auðvitað launþegana sem borga þetta tryggingagjald líka eða hluta af því eða vinna upp í það .	mig langar að spyrja svolítið um reynslu þingmannsins í þessum efnum því að ég er að læra það hér á þingi og í nefndarstörfum að þetta er bara gert án nokkurs samráðs við þá er eiga í hlut atvinnulífið og auðvitað launþegana sem borga þetta tryggingagjald líka eða hluta af því eða vinna upp í það	langar mig að spyrja svolítið um reynslu þingmannsins í þessum efnum því að ég er að það læra hér á þingi og í nefndarstörfum að er þetta bara gert án nokkurs samráðs við þá er eiga í hlut atvinnulífið og auðvitað launþegana sem þetta borga tryggingagjald líka eða hluta af því vinna eða upp í það	F O O C O O O O O O O O O O C O O F O O O O O O O F O O C O O O O O O C O O O O O O O O F O O O O O O F O O O O	mig að spyrja svolítið um reynslu þingmannsins í þessum efnum því að ég er að það hér á eiga þingi og í nefndarstörfum að þetta er bara án nokkurs samráðs við þá er langar í hlut atvinnulífið og auðvitað launþegana sem borga læra þetta tryggingagjald vinna líka eða hluta gert af því eða upp í það	O O C O O O O O O O O O O C O O O O F O O O O O O C O O O O O O O F O O O O O O O C F O O F O O O F O O O O O O
6	Ég vil spyrja hvort það sé venja og þyki eðlilegt að ríkið geti einhliða og án samráðs stillt af hlutfall tryggingagjaldsins og þannig lækkað þessa sjóði án þess að spyrja kóng né prest .	ég vil spyrja hvort það sé venja og þyki eðlilegt að ríkið geti einhliða og án samráðs stillt af hlutfall tryggingagjaldsins og þannig lækkað þessa sjóði án þess að spyrja kóng né prest	ég vil spyrja hvort það venja sé þyki og eðlilegt að ríkið geti einhliða og án samráðs stillt af hlutfall tryggingagjaldsins og þannig þessa lækkað sjóði án þess spyrja að kóng né prest	O C C O O O F F O O O O C O O O O C O O O O O O F O O O F O O O O	ég hvort það venja spyrja og þyki eðlilegt að ríkið geti einhliða og án samráðs stillt af hlutfall tryggingagjaldsins og þannig sé þessa sjóði án vil þess að lækkað spyrja kóng né prest	O O O O F O C O O O C O O O O C O O O O O F O O O F O O F C O O O
7	Svo fer ég kannski aðeins betur inn á þetta með Vinnumálastofnun og starfsendurhæfinguna í seinna andsvari .	svo fer ég kannski aðeins betur inn á þetta með vinnumálastofnun og starfsendurhæfinguna í seinna andsvari	svo fer ég kannski aðeins betur inn á þetta með vinnumálastofnun og starfsendurhæfinguna í seinna andsvari	O C O O O O O O O O O O O O O O	fer svo ég kannski aðeins betur inn á þetta með vinnumálastofnun og starfsendurhæfinguna í seinna andsvari	F O O O O O O O O O O O O O O O
8	Virðulegi forseti . Ég vil koma hér upp og lýsa einskærri gleði yfir því hvernig forseti tekur í þetta mál .	virðulegi forseti ég vil koma hér upp og lýsa einskærri gleði yfir því hvernig forseti tekur í þetta mál	virðulegi forseti ég vil hér koma upp lýsa og einskærri gleði yfir því hvernig forseti tekur í þetta mál	O O O C O F O F O O O O O O O C O O O	virðulegi forseti ég hér upp og koma lýsa einskærri gleði yfir því hvernig forseti tekur í vil þetta mál	O O O O O O F C O O O O O O C O F O O
9	Það er greinilegt að hann hefur skoðað þetta , þessi þingsályktunartillaga kemur ekki á óvart .	það er greinilegt að hann hefur skoðað þetta þessi þingsályktunartillaga kemur ekki á óvart	það er greinilegt að hann hefur skoðað þetta þessi þingsályktunartillaga kemur ekki á óvart	O C O O O F F O O O C O O O	það greinilegt að hann hefur þetta er þessi þingsályktunartillaga kemur ekki skoðað á óvart	O O O O C O F O O C O F O O
