idx	original	no_punc_lower	adjacent	adjacent_gold	random	random_gold
0	Genom skattereformen införs individuell beskattning ( särbeskattning ) av arbetsinkomster .	genom skattereformen införs individuell beskattning särbeskattning av arbetsinkomster	genom skattereformen individuell införs beskattning särbeskattning av arbetsinkomster	O O O F O O O O	genom införs skattereformen individuell beskattning särbeskattning av arbetsinkomster	O F O O O O O O
1	Det innebär bl.a. att endast en skatteskala kommer att finnas för beräkning av statlig inkomstskatt .	det innebär bl.a. att endast en skatteskala kommer att finnas för beräkning av statlig inkomstskatt	innebär det bl.a. att endast en skatteskala kommer att finnas för beräkning av statlig inkomstskatt	F O O O O O O C O C O O O O O	det bl.a. att finnas endast en innebär skatteskala kommer att för beräkning av statlig inkomstskatt	O O O F O O F O C O O O O O O
2	Den blir gemensam för alla inkomsttagare oavsett civilstånd .	den blir gemensam för alla inkomsttagare oavsett civilstånd	den gemensam blir för alla inkomsttagare oavsett civilstånd	O O F O O O O O	den blir gemensam för alla inkomsttagare oavsett civilstånd	O C O O O O O O
3	Den gäller även för oskifta dödsbon och familjestiftelser .	den gäller även för oskifta dödsbon och familjestiftelser	gäller den även för oskifta dödsbon och familjestiftelser	F O O O O O O O	gäller den även för oskifta dödsbon och familjestiftelser	F O O O O O O O
4	De inkomster som på detta sätt beskattas individuellt kallas A-inkomster .	de inkomster som på detta sätt beskattas individuellt kallas a-inkomster	de inkomster som på detta sätt beskattas individuellt kallas a-inkomster	O O O O O O C O C O	de inkomster som beskattas på detta sätt individuellt kallas a-inkomster	O O O F O O O O C O
5	Dessa inkomster är * inkomst av tjänst - lön , pension , livränta , undantagsförmåner och övrig tjänsteinkomst . ( Undantag : periodiskt understöd eller därmed jämförlig periodisk inkomst . ) * inkomst av jordbruksfastighet - om den skattskyldige arbetat i jordbruket i ej blott ringa omfattning . * inkomst av rörelse - om den skattskyldige arbetat i rörelsen i ej blott ringa omfattning .	dessa inkomster är inkomst av tjänst lön pension livränta undantagsförmåner och övrig tjänsteinkomst undantag periodiskt understöd eller därmed jämförlig periodisk inkomst inkomst av jordbruksfastighet om den skattskyldige arbetat i jordbruket i ej blott ringa omfattning inkomst av rörelse om den skattskyldige arbetat i rörelsen i ej blott ringa omfattning	dessa inkomster inkomst är av tjänst lön pension livränta undantagsförmåner och övrig tjänsteinkomst undantag periodiskt understöd eller därmed jämförlig periodisk inkomst inkomst av jordbruksfastighet om den arbetat skattskyldige i jordbruket i ej blott ringa omfattning inkomst av rörelse om den skattskyldige arbetat i rörelsen i ej blott ringa omfattning	O O O F O O O O O O O O O O O O O O O O O O O O O O F O O O O O O O O O O O O O O C O O O O O O O	dessa inkomster inkomst av tjänst lön pension livränta undantagsförmåner och övrig tjänsteinkomst undantag periodiskt understöd eller därmed jämförlig periodisk inkomst inkomst av jordbruksfastighet om den skattskyldige arbetat i jordbruket i ej blott ringa omfattning inkomst är av rörelse om den skattskyldige arbetat i rörelsen i ej blott ringa omfattning	O O O O O O O O O O O O O O O O O O O O O O O O O O C O O O O O O O O F O O O O O C O O O O O O O
6	Makars övriga inkomster är B-inkomster och skall som tidigare sambeskattas .	makars övriga inkomster är b-inkomster och skall som tidigare sambeskattas	makars övriga inkomster är b-inkomster och som skall sambeskattas tidigare	O O O C O O O F F O	makars är sambeskattas övriga inkomster b-inkomster och skall som tidigare	O F F O O O O C O O
7	Sådana B-inkomster är t.ex. inkomst av kapital , tillfällig förvärvsverksamhet , periodiskt understöd .	sådana b-inkomster är t.ex. inkomst av kapital tillfällig förvärvsverksamhet periodiskt understöd	sådana b-inkomster är t.ex. inkomst av kapital tillfällig förvärvsverksamhet periodiskt understöd	O O C O O O O O O O O	sådana b-inkomster t.ex. inkomst av kapital tillfällig förvärvsverksamhet periodiskt understöd är	O O O O O O O O O O F
8	B-inkomster som för makarna sammanlagt uppgår till högst 2000 kr skall dock betraktas som A-inkomst och alltså beskattas individuellt .	b-inkomster som för makarna sammanlagt uppgår till högst 2000 kr skall dock betraktas som a-inkomst och alltså beskattas individuellt	b-inkomster som för makarna sammanlagt uppgår till högst 2000 kr betraktas skall dock som a-inkomst och alltså beskattas individuellt	O O O O O C O O O O F F O O O O O C O	b-inkomster som för makarna sammanlagt uppgår till högst 2000 kr skall dock beskattas betraktas som a-inkomst och alltså individuellt	O O O O O C O O O O C O F F O O O O O
9	Frivillig särbeskattning tillämpas sista gången i samband med 1971 års taxering .	frivillig särbeskattning tillämpas sista gången i samband med 1971 års taxering	frivillig särbeskattning tillämpas sista gången i samband med 1971 års taxering	O O C O O O O O O O O	frivillig särbeskattning sista tillämpas gången i samband med 1971 års taxering	O O O F O O O O O O O
10	Observera att ansökan härom skall göras senast den 1 juli 1971 .	observera att ansökan härom skall göras senast den 1 juli 1971	att observera ansökan skall härom göras senast den 1 juli 1971	O F O F O C O O O O O	observera att ansökan härom göras skall senast den 1 juli 1971	C O O O C F O O O O O
11	Kommunalskatteavdraget slopas	kommunalskatteavdraget slopas	kommunalskatteavdraget slopas	O C	kommunalskatteavdraget slopas	O C
12	För fysiska personer , dödsbon och familjestiftelser slopas rätten att göra avdrag för kommunalskatten fr.o.m. den självdeklaration som skall avlämnas 1972 .	för fysiska personer dödsbon och familjestiftelser slopas rätten att göra avdrag för kommunalskatten fr.o.m. den självdeklaration som skall avlämnas 1972	för fysiska personer dödsbon och familjestiftelser rätten slopas göra att avdrag för kommunalskatten fr.o.m. den självdeklaration som skall avlämnas 1972	O O O O O O O F F O O O O O O O O C C O	för fysiska slopas personer dödsbon och familjestiftelser rätten att göra avdrag för kommunalskatten fr.o.m. den självdeklaration som avlämnas 1972 skall	O O F O O O O O O C O O O O O O O C O F
13	I självdeklarationen 1971 - som alltså avser 1970 års inkomster - får avdrag göras som tidigare .	i självdeklarationen 1971 som alltså avser 1970 års inkomster får avdrag göras som tidigare	i självdeklarationen 1971 som alltså 1970 avser års får inkomster avdrag göras som tidigare	O O O O O O F O F O O C O O	i självdeklarationen 1971 som alltså 1970 års får avser inkomster avdrag göras som tidigare	O O O O O O O F F O O C O O
14	Förvärvsavdragen ändras	förvärvsavdragen ändras	förvärvsavdragen ändras	O C	förvärvsavdragen ändras	O C
15	Förvärvsavdrag kan medges från A-inkomst , om det finns hemmavarande barn under 16 år .	förvärvsavdrag kan medges från a-inkomst om det finns hemmavarande barn under 16 år	förvärvsavdrag kan medges från a-inkomst om det finns hemmavarande barn under 16 år	O F F O O O O C O O O O O	förvärvsavdrag kan från a-inkomst om det finns hemmavarande barn under 16 medges år	O C O O O O C O O O O F O
16	Sådant avdrag medges på sätt framgår av nedanstående tablå .	sådant avdrag medges på sätt framgår av nedanstående tablå	sådant avdrag medges på sätt av framgår nedanstående tablå	O O C O O O F O O	sådant avdrag på sätt medges framgår av nedanstående tablå	O O O O F C O O O
17	Barns ålder räknas efter förhållandet den 1 november under inkomståret .	barns ålder räknas efter förhållandet den 1 november under inkomståret	barns räknas ålder efter förhållandet den 1 november under inkomståret	O F O O O O O O O O	barns ålder räknas efter förhållandet den 1 november under inkomståret	O O C O O O O O O O
18	När det gäller inkomståret 1971 ( taxeringsåret 1972 ) skall barnet alltså vara fött efter den 1 november 1955 .	när det gäller inkomståret 1971 taxeringsåret 1972 skall barnet alltså vara fött efter den 1 november 1955	när det gäller inkomståret 1971 taxeringsåret 1972 skall barnet alltså fött vara efter den 1 november 1955	O O C O O O O C O O O F O O O O O	vara när det inkomståret 1971 taxeringsåret 1972 gäller skall barnet alltså fött efter den 1 november 1955	F O O O O O O F C O O O O O O O O
19	Med makar likställs de som utan att vara gifta lever tillsammans om de tidigare varit gifta med varandra eller har eller har haft barn gemensamt .	med makar likställs de som utan att vara gifta lever tillsammans om de tidigare varit gifta med varandra eller har eller har haft barn gemensamt	med likställs makar de som utan att vara gifta lever tillsammans om de tidigare gifta varit med varandra har eller eller har haft barn gemensamt	O F O O O O O C O C O O O O O F O O F O O C C O O	med makar de som utan att vara gifta lever likställs tillsammans varit haft om de tidigare har gifta med varandra eller eller har barn gemensamt	O O O O O O C O C F O F F O O O F O O O O O C O O
20	Avdrag för utgivet underhållsbidrag till icke hemmavarande barn höjs från 1000 kr till 1500 kr per barn och år .	avdrag för utgivet underhållsbidrag till icke hemmavarande barn höjs från 1000 kr till 1500 kr per barn och år	avdrag för utgivet underhållsbidrag till icke hemmavarande barn från höjs 1000 kr till 1500 kr per barn och år	O O O O O O O O O F O O O O O O O O O	avdrag höjs för utgivet underhållsbidrag till icke hemmavarande barn från 1000 kr till 1500 kr per barn och år	O F O O O O O O O O O O O O O O O O O
21	Dessutom höjs åldergränsen till 18 år .	dessutom höjs åldergränsen till 18 år	höjs dessutom åldergränsen till 18 år	F O O O O O	dessutom åldergränsen till 18 år höjs	O O O O O F
22	När det gäller 1972 års taxering skall barnet vara fött efter den 1 november 1953 .	när det gäller 1972 års taxering skall barnet vara fött efter den 1 november 1953	när det gäller 1972 års taxering skall barnet fött vara efter den 1 november 1953	O O C O O O C O O F O O O O O	när det 1972 års taxering skall barnet fött efter gäller den 1 vara november 1953	O O O O O C O O O F O O F O O
23	Kravet på bevisning har mildrats .	kravet på bevisning har mildrats	kravet på har bevisning mildrats	O O F O C	kravet på har bevisning mildrats	O O F O C
24	Avdraget måste inte längre styrkas med intyg från barnavårdsnämnd , barnavårdsman eller kommunal förtroendeman .	avdraget måste inte längre styrkas med intyg från barnavårdsnämnd barnavårdsman eller kommunal förtroendeman	avdraget måste inte längre med styrkas intyg från barnavårdsnämnd barnavårdsman eller kommunal förtroendeman	O C O O O F O O O O O O O	avdraget måste inte längre med intyg från barnavårdsnämnd barnavårdsman styrkas eller kommunal förtroendeman	O C O O O O O O O F O O O
25	Det räcker med att intyg eller annat skriftligt bevis bifogas deklarationen .	det räcker med att intyg eller annat skriftligt bevis bifogas deklarationen	räcker det med att intyg eller annat skriftligt bevis bifogas deklarationen	F O O O O O O O O C O	det räcker med att intyg eller annat skriftligt bevis deklarationen bifogas	O C O O O O O O O O F
26	Som bevis torde godtas dom eller avtal om underhållsskyldighet jämte kvitto på betalt belopp eller intyg från trovärdig person .	som bevis torde godtas dom eller avtal om underhållsskyldighet jämte kvitto på betalt belopp eller intyg från trovärdig person	som bevis torde dom godtas eller avtal om underhållsskyldighet jämte kvitto på betalt belopp eller intyg från trovärdig person	O O C O F O O O O O O O O O O O O O O	som bevis torde dom godtas eller avtal om underhållsskyldighet jämte kvitto på betalt belopp eller intyg från trovärdig person	O O C O F O O O O O O O O O O O O O O
27	Ortsavdraget ersätts med grundavdrag .	ortsavdraget ersätts med grundavdrag	ersätts ortsavdraget med grundavdrag	F O O O	ortsavdraget ersätts med grundavdrag	O C O O
28	Det nya grundavdraget - som ersätter tidigare ortsavdrag - uppgår till 4500 kr för varje skattskyldig med en till statlig inkomstskatt taxerad inkomst av högst 30000 kr .	det nya grundavdraget som ersätter tidigare ortsavdrag uppgår till 4500 kr för varje skattskyldig med en till statlig inkomstskatt taxerad inkomst av högst 30000 kr	det nya grundavdraget som ersätter tidigare ortsavdrag uppgår till 4500 kr för varje skattskyldig med en till statlig inkomstskatt taxerad inkomst av högst 30000 kr	O O O O C O O C O O O O O O O O O O O O O O O O O	det nya grundavdraget som tidigare ortsavdrag uppgår till 4500 kr för varje skattskyldig med en ersätter till statlig inkomstskatt taxerad inkomst av högst 30000 kr	O O O O O O C O O O O O O O O F O O O O O O O O O
29	Vid högre taxerad inkomst sjunker avdraget med en femtedel av det belopp som överstiger 30000 kronor .	vid högre taxerad inkomst sjunker avdraget med en femtedel av det belopp som överstiger 30000 kronor	vid högre taxerad inkomst avdraget sjunker med en femtedel av det belopp överstiger som 30000 kronor	O O O O O F O O O O O O F O O O	vid högre taxerad sjunker inkomst avdraget med en femtedel av det belopp som överstiger 30000 kronor	O O O F O O O O O O O O O C O O
30	Grundavdraget upphör alltså vid en taxerad inkomst på 52500 kr .	grundavdraget upphör alltså vid en taxerad inkomst på 52500 kr	grundavdraget upphör alltså vid en taxerad inkomst på 52500 kr	O C O O O O O O O O	grundavdraget upphör alltså vid en taxerad inkomst på 52500 kr	O C O O O O O O O O
31	Statligt taxerad inkomst uppgår till 40000 kr .	statligt taxerad inkomst uppgår till 40000 kr	statligt taxerad inkomst uppgår till 40000 kr	O O O C O O O	statligt taxerad inkomst uppgår till 40000 kr	O O O C O O O
32	Grundavdraget blir 2500 kr ( = 4500 minskat med 1/5 av 10000 kr ) .	grundavdraget blir 2500 kr 4500 minskat med 1/5 av 10000 kr	grundavdraget 2500 blir kr 4500 minskat med 1/5 av 10000 kr	O O F O O O O O O O O	grundavdraget 2500 kr 4500 blir minskat med 1/5 av 10000 kr	O O O O F O O O O O O
33	Grundavdraget uppgår till samma belopp vid statlig och kommunal taxering och beräknas med ledning av den till statlig inkomstskatt taxerade inkomsten .	grundavdraget uppgår till samma belopp vid statlig och kommunal taxering och beräknas med ledning av den till statlig inkomstskatt taxerade inkomsten	uppgår grundavdraget till samma belopp vid statlig och kommunal taxering och beräknas med ledning av den till statlig inkomstskatt taxerade inkomsten	F O O O O O O O O O O C O O O O O O O O O	grundavdraget uppgår till samma belopp vid statlig och kommunal taxering och med ledning av beräknas den till statlig inkomstskatt taxerade inkomsten	O C O O O O O O O O O O O O F O O O O O O
34	Kommunalt grundavdrag kan avräknas även från inkomst i annan kommun än hemortskommunen .	kommunalt grundavdrag kan avräknas även från inkomst i annan kommun än hemortskommunen	kommunalt grundavdrag kan även avräknas från inkomst i annan kommun än hemortskommunen	O O C O F O O O O O O O	kommunalt grundavdrag avräknas även från inkomst kan i annan kommun än hemortskommunen	O O C O O O F O O O O O
35	För ena maken outnyttjat grundavdrag eller del därav kan inte överföras till den andra maken .	för ena maken outnyttjat grundavdrag eller del därav kan inte överföras till den andra maken	för ena maken outnyttjat grundavdrag eller del kan därav inte överföras till den andra maken	O O O O O O O F O O C O O O O	för ena maken kan outnyttjat grundavdrag eller del därav inte överföras till den andra maken	O O O F O O O O O O C O O O O
36	I sådant fall har dock den andra maken rätt till skattereduktion ( se nedan ) .	i sådant fall har dock den andra maken rätt till skattereduktion se nedan	i sådant fall har dock den andra maken rätt till skattereduktion nedan se	O O O C O O O O O O O O F	i sådant fall har se dock den andra maken rätt till skattereduktion nedan	O O O C F O O O O O O O O
37	Särskilda regler gäller för * skattskyldig som varit bosatt här i riket under en mindre del av beskattningsåret * skattskyldig som haft inkomst som beskattas enligt förordningen om sjömansskatt .	särskilda regler gäller för skattskyldig som varit bosatt här i riket under en mindre del av beskattningsåret skattskyldig som haft inkomst som beskattas enligt förordningen om sjömansskatt	särskilda gäller regler för skattskyldig som varit bosatt här i riket under en mindre del av beskattningsåret skattskyldig som haft inkomst som enligt beskattas förordningen om sjömansskatt	O F O O O O C O O O O O O O O O O O O C O O O F O O O	särskilda beskattas regler gäller för skattskyldig som varit bosatt här i riket haft under en mindre del av beskattningsåret skattskyldig som inkomst som enligt förordningen om sjömansskatt	O F O C O O O C O O O O F O O O O O O O O O O O O O O
38	Gränsen för den årsinkomst feriearbetande ungdom m.fl får ha av tillfällig anställning utan att betala preliminärskatt höjs genom de nya bestämmelserna till 4700 kr .	gränsen för den årsinkomst feriearbetande ungdom m.fl får ha av tillfällig anställning utan att betala preliminärskatt höjs genom de nya bestämmelserna till 4700 kr	gränsen för den årsinkomst feriearbetande ungdom får m.fl ha av tillfällig anställning utan att betala preliminärskatt genom höjs de nya bestämmelserna till 4700 kr	O O O O O O F O C O O O O O C O O F O O O O O O	får gränsen för den årsinkomst feriearbetande ungdom m.fl av tillfällig anställning utan att betala preliminärskatt ha höjs genom de nya bestämmelserna till 4700 kr	F O O O O O O O O O O O O C O F C O O O O O O O
39	I det nya skattesystemet bibehålls den gamla regeln att skattskyldig som bara har folkpension , inte påförs någon skatt .	i det nya skattesystemet bibehålls den gamla regeln att skattskyldig som bara har folkpension inte påförs någon skatt	i det nya bibehålls skattesystemet den gamla regeln att skattskyldig som bara har folkpension inte påförs någon skatt	O O O F O O O O O O O O C O O C O O	i det nya skattesystemet bibehålls den gamla regeln att har skattskyldig som bara folkpension inte någon skatt påförs	O O O O C O O O O F O O O O O O O F
40	En nyhet är att det kommunala bostadstillägget blir skattefritt oavsett hur hög inkomst folkpensionären har .	en nyhet är att det kommunala bostadstillägget blir skattefritt oavsett hur hög inkomst folkpensionären har	en nyhet att är det kommunala blir bostadstillägget skattefritt oavsett hur hög inkomst folkpensionären har	O O O F O O F O O O O O O O C	en nyhet att det kommunala bostadstillägget skattefritt oavsett hur hög blir inkomst folkpensionären har är	O O O O O O O O O O F O O C F
41	Dessutom kommer en ensamstående folkpensionär att kunna ha en inkomst om 1500 kr vid sidan av folkpensionen och ändock bli skattefri .	dessutom kommer en ensamstående folkpensionär att kunna ha en inkomst om 1500 kr vid sidan av folkpensionen och ändock bli skattefri	dessutom kommer en ensamstående folkpensionär att kunna ha en inkomst om 1500 kr vid sidan av folkpensionen och ändock bli skattefri	O C O O O O F F O O O O O O O O O O O C O	dessutom en ensamstående folkpensionär ha att kunna en inkomst om kommer 1500 kr vid sidan av folkpensionen och ändock bli skattefri	O O O O F O C O O O F O O O O O O O O C O
42	Gifta pensionärer blir skattefria om sidoinkomsten uppgår till högst 2000 kr för makarna tillsammans .	gifta pensionärer blir skattefria om sidoinkomsten uppgår till högst 2000 kr för makarna tillsammans	gifta pensionärer blir skattefria om sidoinkomsten till uppgår högst 2000 kr för makarna tillsammans	O O C O O O O F O O O O O O	gifta uppgår pensionärer blir skattefria om sidoinkomsten till högst 2000 kr för makarna tillsammans	O F O C O O O O O O O O O O
43	Tekniskt ordnas detta genom ett extra avdrag utöver grundavdraget .	tekniskt ordnas detta genom ett extra avdrag utöver grundavdraget	ordnas tekniskt detta genom ett extra avdrag utöver grundavdraget	F O O O O O O O O	tekniskt detta genom ett extra avdrag ordnas utöver grundavdraget	O O O O O O F O O
44	För att belysa verkningarna för folkpensionärerna av det nya systemet att beräkna extra avdrag åberopade finansministern i propositionen till riksdagen följande tabell .	för att belysa verkningarna för folkpensionärerna av det nya systemet att beräkna extra avdrag åberopade finansministern i propositionen till riksdagen följande tabell	för att belysa verkningarna för folkpensionärerna av det nya systemet att beräkna extra avdrag finansministern åberopade i propositionen till riksdagen följande tabell	O O C O O O O O O O O C O O O F O O O O O O	för att verkningarna för folkpensionärerna av det nya systemet belysa att beräkna extra avdrag åberopade finansministern i propositionen till riksdagen följande tabell	O O O O O O O O O F O C O O C O O O O O O O
45	Den här broschyren vill ge dig en bild av vad som händer under din militärutbildning .	den här broschyren vill ge dig en bild av vad som händer under din militärutbildning	den här vill broschyren ge dig en bild av vad som händer under din militärutbildning	O O F O C O O O O O O C O O O	den här broschyren vill ge dig en bild händer av vad som under din militärutbildning	O O O C C O O O F O O O O O O
46	Läs den och behåll den under utbildningsåret .	läs den och behåll den under utbildningsåret	den läs behåll och den under utbildningsåret	O F F O O O O	läs den och den behåll under utbildningsåret	C O O O F O O
47	En ny och ovan miljö väntar .	en ny och ovan miljö väntar	en ny och ovan miljö väntar	O O O O O C	en ny och ovan miljö väntar	O O O O O C
48	Befälet vid ditt förband kommer att introducera dig i den nya miljön och informera dig om verksamheten .	befälet vid ditt förband kommer att introducera dig i den nya miljön och informera dig om verksamheten	befälet vid ditt förband kommer att dig introducera i den nya miljön informera och dig om verksamheten	O O O O C O O F O O O O F O O O O	befälet vid ditt förband att introducera dig i den kommer nya miljön och dig informera om verksamheten	O O O O O C O O O F O O O O F O O
49	Under militärtjänsten har du många skyldigheter , som berörs på de närmaste sidorna .	under militärtjänsten har du många skyldigheter som berörs på de närmaste sidorna	under militärtjänsten har du många skyldigheter som berörs på de närmaste sidorna	O O C O O O O C O O O O	under militärtjänsten har du många skyldigheter som på de berörs närmaste sidorna	O O C O O O O O O F O O
50	Samhället har också givit dig en rad förmåner och dessa redovisas längre fram i broschyren .	samhället har också givit dig en rad förmåner och dessa redovisas längre fram i broschyren	samhället givit har också dig en rad förmåner och dessa redovisas längre fram i broschyren	O F F O O O O O O O C O O O O	samhället har också givit dig en rad redovisas förmåner och dessa längre fram i broschyren	O C O C O O O F O O O O O O O
51	Den koncentrerade militära utbildning som du får sker av praktiska skäl i en internatförläggning - i kasern .	den koncentrerade militära utbildning som du får sker av praktiska skäl i en internatförläggning i kasern	den koncentrerade militära utbildning som du får av sker praktiska skäl i en internatförläggning i kasern	O O O O O O C O F O O O O O O O	den koncentrerade militära utbildning som du sker av praktiska skäl får i en internatförläggning i kasern	O O O O O O C O O O F O O O O O
