idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
0	Die doel van die webtuiste vir Suid-Afrikaanse Regeringsdienste is om 'n enkele bron van inligting te bied oor dienste wat deur die Suid-Afrikaanse regering verskaf word .	die doel van die webtuiste vir suid-afrikaanse regeringsdienste is om 'n enkele bron van inligting te bied oor dienste wat deur die suid-afrikaanse regering verskaf word	O O O O O O O O C O O O O O O O C O O O O O O O C C	die doel van die webtuiste vir suid-afrikaanse regeringsdienste is om 'n enkele bron van inligting te bied oor dienste wat verskaf word deur die suid-afrikaanse regering	O O O O O O O O C O O O O O O O C O O O F F O O O O
1	Die oogmerk is om die dispariteit te verminder wat tussen die bemagtigdes en die ontmagtigdes , oftewel die eerste en tweede ekonomieë , bestaan .	die oogmerk is om die dispariteit te verminder wat tussen die bemagtigdes en die ontmagtigdes oftewel die eerste en tweede ekonomieë bestaan	O O C O O O O C O O O O O O O O O O O O O C	die oogmerk is om die dispariteit te verminder wat bestaan tussen die bemagtigdes en die ontmagtigdes oftewel die eerste en tweede ekonomieë	O O C O O O O C O F O O O O O O O O O O O O
2	Die webtuiste is 'n kritiese ingryp wat daarop gerig is om seker te maak dat landsburgers met die regering in interaksie sal kan tree .	die webtuiste is 'n kritiese ingryp wat daarop gerig is om seker te maak dat landsburgers met die regering in interaksie sal kan tree	O O C O O O O O C C O O O C O O O O O O O C C C	die webtuiste 'n is kritiese ingryp wat daarop gerig is om seker te sal dat landsburgers kan met die regering in interaksie maak tree	O O O F O O O O C C O O O F O O F O O O O O F C
3	Die bedoelde gebruikers van die webtuiste is Suid-Afrikaanse burgers in alle dele van die land , huidige of voornemende Suid-Afrikaanse sakeondernemings of organisasies , en burgers en organisasies van ander lande wat dienste deur die Suid-Afrikaanse regering nodig het .	die bedoelde gebruikers van die webtuiste is suid-afrikaanse burgers in alle dele van die land huidige of voornemende suid-afrikaanse sakeondernemings of organisasies en burgers en organisasies van ander lande wat dienste deur die suid-afrikaanse regering nodig het	O O O O O O C O O O O O O O O O O O O O O O O O O O O O O O O O O O O O C	die bedoelde gebruikers van die webtuiste is suid-afrikaanse burgers in alle dele van die land huidige of voornemende suid-afrikaanse sakeondernemings of organisasies en burgers en organisasies van ander lande wat dienste het deur die suid-afrikaanse regering nodig	O O O O O O C O O O O O O O O O O O O O O O O O O O O O O O O F O O O O O
4	'n Kritiese sektor van gebruikers is al die tussengangers , soos die Veeldoelige Gemeenskapsentra ( MPCCs ) , Gemeenskapontwikkelingswerkers ( GOW's ) en die Batho Pele Gateway-inbelsentrum , wat diegene wat nie in staat is om regstreeks toegang tot die Internet te kry nie , sal help om die webtuiste te gebruik .	'n kritiese sektor van gebruikers is al die tussengangers soos die veeldoelige gemeenskapsentra mpccs gemeenskapontwikkelingswerkers gow's en die batho pele gateway-inbelsentrum wat diegene wat nie in staat is om regstreeks toegang tot die internet te kry nie sal help om die webtuiste te gebruik	O O O O O C O O O O O O O O O O O O O O O O O O O O O C C C O O O O O O O C O O O O O C	'n kritiese sektor van gebruikers is al die tussengangers soos die veeldoelige gemeenskapsentra mpccs gemeenskapontwikkelingswerkers gow's en die batho pele gateway-inbelsentrum wat diegene is wat nie in staat kry om regstreeks toegang tot die internet te nie sal help om die webtuiste te gebruik	O O O O O C O O O O O O O O O O O O O O O O O F O O O O F O O O O O O O O C C O O O O C
5	Die webtuiste bevat inligting oor regeringsdienste wat op die nasionale regeringsvlak aangebied word .	die webtuiste bevat inligting oor regeringsdienste wat op die nasionale regeringsvlak aangebied word	O O C O O O O O O O O C C	die webtuiste bevat inligting oor regeringsdienste wat word aangebied op die nasionale regeringsvlak	O O C O O O O F F O O O O
6	Dienste vir buitelandse burgers : inligting wat spesifiek bedoel is vir burgers van ander lande wat toepaslike dienste van die Suid-Afrikaanse regering nodig het .	dienste vir buitelandse burgers inligting wat spesifiek bedoel is vir burgers van ander lande wat toepaslike dienste van die suid-afrikaanse regering nodig het	O O O O O O O O C O O O O O O O O O O O O O C	dienste vir buitelandse burgers inligting wat spesifiek bedoel is vir burgers van ander lande wat het toepaslike dienste van die suid-afrikaanse regering nodig	O O O O O O O O C O O O O O O F O O O O O O O
7	Elk van hierdie kategorieë is verder op so 'n wyse gestruktureer dat dit aanpas by die volgorde van lewensgebeure ( tipiese gebeure in die lewe van 'n burger of 'n sakeonderneming ) .	elk van hierdie kategorieë is verder op so 'n wyse gestruktureer dat dit aanpas by die volgorde van lewensgebeure tipiese gebeure in die lewe van 'n burger of 'n sakeonderneming	O O O O C O O O O O C O O C O O O O O O O O O O O O O O O O	elk van hierdie kategorieë verder op so 'n wyse gestruktureer is dat dit aanpas by die volgorde van lewensgebeure tipiese gebeure in die lewe van 'n burger of 'n sakeonderneming	O O O O O O O O O F F O O C O O O O O O O O O O O O O O O O
8	Hierdie lewensgebeure is verder in kategorieë volgens lewensfases ingedeel .	hierdie lewensgebeure is verder in kategorieë volgens lewensfases ingedeel	O O C O O O O O C	hierdie lewensgebeure is verder in kategorieë volgens lewensfases ingedeel	O O C O O O O O C
9	Inligting ten opsigte van elke diens is volgens sewe sleutelareas gerangskik , naamlik beskrywing , stappe om te volg , wetlike raamwerk , diensstandaard ; koste , vorms om in te vul , en kontakbesonderhede .	inligting ten opsigte van elke diens is volgens sewe sleutelareas gerangskik naamlik beskrywing stappe om te volg wetlike raamwerk diensstandaard koste vorms om in te vul en kontakbesonderhede	O O O O O O C O O O C O O O O O O O O O O O O C O O O C	inligting ten opsigte gerangskik van elke diens volgens sewe sleutelareas naamlik beskrywing stappe wetlike om te volg raamwerk diensstandaard is koste vorms om vul in te en kontakbesonderhede	O O O F O O O O O O O O O O O O C O O F O O O F O O O O
10	Hierdie afdeling van die webtuiste , wat in die regterkantste navigasiebalk vertoon word , bevat skakels na die webtuistes wat aan daardie lewensgebeurtenis verwant is .	hierdie afdeling van die webtuiste wat in die regterkantste navigasiebalk vertoon word bevat skakels na die webtuistes wat aan daardie lewensgebeurtenis verwant is	O O O O O C O O O O O O O O O C O O O O O C C	hierdie afdeling van die webtuiste wat in die regterkantste navigasiebalk word vertoon bevat skakels na die webtuistes wat aan daardie lewensgebeurtenis verwant is	O O O O O O O O O O F F C O O O O O O O O O C
11	Hierdie weergawe van die webtuiste maak voorsiening vir elf tale , naamlik Engels , Afrikaans , isiXhosa , isiZulu , Sepedi , Sesotho , Setswana , Ndebele , Tsonga , Venda en Siswati .	hierdie weergawe van die webtuiste maak voorsiening vir elf tale naamlik engels afrikaans isixhosa isizulu sepedi sesotho setswana ndebele tsonga venda en siswati	O O O O O C O O O O O O O O O O O O O O O O O	hierdie weergawe van die webtuiste maak voorsiening vir elf tale naamlik engels afrikaans isixhosa isizulu sepedi sesotho setswana ndebele tsonga venda en siswati	O O O O O C O O O O O O O O O O O O O O O O O
12	Ten einde toegang tot die inligting op die webtuiste uit te brei , word daar in die vooruitsig gestel dat die inligting uiteindelik in al elf amptelike tale beskikbaar sal wees .	ten einde toegang tot die inligting op die webtuiste uit te brei word daar in die vooruitsig gestel dat die inligting uiteindelik in al elf amptelike tale beskikbaar sal wees	O O O O O O O O O O O C C O O O O C O O O O O O O O O O C C	ten einde toegang brei tot die inligting op die webtuiste uit te word daar in die vooruitsig gestel dat die inligting uiteindelik in al elf amptelike tale beskikbaar sal wees	O O O F O O O O O O O O C O O O O C O O O O O O O O O O C C
13	Vertaling van die inligting in die oorblywende amptelike tale sal na verwagting teen Maart 2007 afgehandel wees .	vertaling van die inligting in die oorblywende amptelike tale sal na verwagting teen maart 2007 afgehandel wees	O O O O O O O O O C O O O O O O C	vertaling van die inligting sal in die oorblywende amptelike tale na verwagting teen maart 2007 afgehandel wees	O O O O F O O O O O O O O O O O C
14	Dienste-inligting word oorspronklik in Engels opgestel , waarna dit in die ander tale vertaal word .	dienste-inligting word oorspronklik in engels opgestel waarna dit in die ander tale vertaal word	O C O O O C O O O O O O C C	dienste-inligting word oorspronklik in opgestel engels waarna word vertaal dit in die ander tale	O C O O F O O F F O O O O O
15	Dienste-inligting word in die ander tale geplaas nadat dit vertaal is .	dienste-inligting word in die ander tale geplaas nadat dit vertaal is	O C O O O O C O O C C	dienste-inligting in die ander tale geplaas word nadat dit vertaal is	O O O O O F F O O C C
16	Gebruik die Kontak ons bladsy om kommentaar te lewer oor of navraag te doen na die Regeringsdienste-webtuiste .	gebruik die kontak ons bladsy om kommentaar te lewer oor of navraag te doen na die regeringsdienste-webtuiste	C O O O C O O O C O O O O C O O O	bladsy kontak die ons om gebruik kommentaar te lewer oor of navraag te na die regeringsdienste-webtuiste doen	O F O O O F O O C O O O O O O O F
17	Die www.gov.za-skakel voorsien toegang tot die Suid-Afrikaanse Regering Aanlyn tuisbladsy , wat toegang verskaf tot die webtuiste ( Regeringsdienste-webtuiste ) en die Regeringsinligting-webtuiste ( www.info.gov.za ) .	die www.gov.za-skakel voorsien toegang tot die suid-afrikaanse regering aanlyn tuisbladsy wat toegang verskaf tot die webtuiste regeringsdienste-webtuiste en die regeringsinligting-webtuiste www.info.gov.za	O O C O O O O O O O O O C O O O O O O O O	die www.gov.za-skakel voorsien toegang tot die suid-afrikaanse regering aanlyn tuisbladsy wat toegang verskaf tot die webtuiste regeringsdienste-webtuiste en die regeringsinligting-webtuiste www.info.gov.za	O O C O O O O O O O O O C O O O O O O O O
18	Die werfkaart verskaf 'n visuele voorstelling van die struktuur van die webtuiste .	die werfkaart verskaf 'n visuele voorstelling van die struktuur van die webtuiste	O O C O O O O O O O O O	die werfkaart verskaf 'n visuele voorstelling van die struktuur van die webtuiste	O O C O O O O O O O O O
19	Dit word hiërargies aangebied , en verdeel die webtuiste se inligting in steeds meer spesifieke onderwerpareas .	dit word hiërargies aangebied en verdeel die webtuiste se inligting in steeds meer spesifieke onderwerpareas	O C O C O C O O O O O O O O O	dit aangebied word hiërargies en verdeel die webtuiste se inligting in steeds meer spesifieke onderwerpareas	O F F O O C O O O O O O O O O
20	Dit stel jou dus in staat om jouself ooreenkomstig die inhoudstruktuur van die webtuiste te oriënteer .	dit stel jou dus in staat om jouself ooreenkomstig die inhoudstruktuur van die webtuiste te oriënteer	O C O O O O O O O O O O O O O C	dit stel jou dus in staat om jouself oriënteer ooreenkomstig die inhoudstruktuur van die webtuiste te	O C O O O O O O F O O O O O O O
21	Die tuisbladsy verskaf 'n lys van die mees besoekte dienste .	die tuisbladsy verskaf 'n lys van die mees besoekte dienste	O O C O O O O O O O	die tuisbladsy 'n lys van die mees besoekte dienste verskaf	O O O O O O O O O F
22	Hierdie inskrywings bied toegang tot die vyf dienste wat die meeste deur gebruikers besoek is .	hierdie inskrywings bied toegang tot die vyf dienste wat die meeste deur gebruikers besoek is	O O C O O O O O O O O O O C C	hierdie inskrywings toegang bied tot die vyf dienste wat die meeste deur gebruikers besoek is	O O O F O O O O O O O O O C C
