idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
0	Virðulegi forseti . Ég þakka hv. þingmanni fyrir ræðuna , hún var fróðleg fyrir nýjan þingmann eins og mig .	virðulegi forseti ég þakka hv. þingmanni fyrir ræðuna hún var fróðleg fyrir nýjan þingmann eins og mig	O O O C O O O O O C O O O O O O O	virðulegi forseti ég þakka hv. þingmanni fyrir ræðuna hún var fróðleg fyrir nýjan þingmann eins og mig	O O O C O O O O O C O O O O O O O
1	Ég kem hér upp í raun til þess að fá hv. þingmann til að fræða mig aðeins betur .	ég kem hér upp í raun til þess að fá hv. þingmann til að fræða mig aðeins betur	O C O O O O O O O C O O O O C O O O	ég kem hér upp í raun til þess fá að hv. þingmann fræða til að mig aðeins betur	O C O O O O O O F O O O F O O O O O
2	Hv. þingmaður ræddi niðurskurðinn til Vinnumálastofnunar og mér finnst það líka athyglisvert að starfsendurhæfingarsjóður dettur alveg út úr tryggingagjaldinu .	hv. þingmaður ræddi niðurskurðinn til vinnumálastofnunar og mér finnst það líka athyglisvert að starfsendurhæfingarsjóður dettur alveg út úr tryggingagjaldinu	O O C O O O O O C O O O O O C O O O O	hv. þingmaður ræddi niðurskurðinn til vinnumálastofnunar og mér finnst það líka athyglisvert dettur að starfsendurhæfingarsjóður alveg út úr tryggingagjaldinu	O O C O O O O O C O O O F O O O O O O
3	Hvað þykir þingmanninum um þá gjörð ríkisstjórnarinnar ?	hvað þykir þingmanninum um þá gjörð ríkisstjórnarinnar	O C O O O O O	hvað þingmanninum um þá gjörð þykir ríkisstjórnarinnar	O O O O O F O
4	Við sjáum þetta náttúrlega líka með Fæðingarorlofssjóð , þar er tryggingagjaldið , það sem fer í sjóðinn , lækkað um næstum því helming .	við sjáum þetta náttúrlega líka með fæðingarorlofssjóð þar er tryggingagjaldið það sem fer í sjóðinn lækkað um næstum því helming	O C O O O O O O C O O C O O O O O C O O	við þetta náttúrlega líka með sjáum fæðingarorlofssjóð þar er tryggingagjaldið það sem fer í sjóðinn lækkað um næstum því helming	O O O O O F O O C O O O C O O C O O O O
5	Mig langar að spyrja svolítið um reynslu þingmannsins í þessum efnum , því að ég er að læra það hér á þingi og í nefndarstörfum að þetta er bara gert án nokkurs samráðs við þá er eiga í hlut , atvinnulífið og auðvitað launþegana sem borga þetta tryggingagjald líka eða hluta af því eða vinna upp í það .	mig langar að spyrja svolítið um reynslu þingmannsins í þessum efnum því að ég er að læra það hér á þingi og í nefndarstörfum að þetta er bara gert án nokkurs samráðs við þá er eiga í hlut atvinnulífið og auðvitað launþegana sem borga þetta tryggingagjald líka eða hluta af því eða vinna upp í það	O C O O C O O O O O O O O O C O C O O O O O O O O O C O C O O O O O O O O O O C O O O C O O O O O O O O C O O O	mig langar að spyrja svolítið um reynslu þingmannsins í þessum efnum því að er ég að það læra hér á þingi og í nefndarstörfum að þetta bara án nokkurs samráðs er við þá atvinnulífið er eiga í hlut gert og auðvitað launþegana sem borga þetta tryggingagjald líka eða hluta af því eða upp í vinna það	O C O C O O O O O O O O O F O O O F O O O O O O O O O O O O F O O O O C O O F O O O O C O O O O O O O O O O F O
6	Ég vil spyrja hvort það sé venja og þyki eðlilegt að ríkið geti einhliða og án samráðs stillt af hlutfall tryggingagjaldsins og þannig lækkað þessa sjóði án þess að spyrja kóng né prest .	ég vil spyrja hvort það sé venja og þyki eðlilegt að ríkið geti einhliða og án samráðs stillt af hlutfall tryggingagjaldsins og þannig lækkað þessa sjóði án þess að spyrja kóng né prest	O C C O O C O O C O O O C O O O O C O O O O O O O O O C O C O O O	ég hvort það sé spyrja vil venja og þyki eðlilegt að ríkið geti einhliða og án samráðs stillt af hlutfall tryggingagjaldsins og þannig lækkað þessa sjóði án þess að kóng né prest spyrja	O O O F F F O O C O O O C O O O O C O O O O O C O O O O O O O O F
7	Svo fer ég kannski aðeins betur inn á þetta með Vinnumálastofnun og starfsendurhæfinguna í seinna andsvari .	svo fer ég kannski aðeins betur inn á þetta með vinnumálastofnun og starfsendurhæfinguna í seinna andsvari	O C O O O O O O O O O O O O O O	svo ég kannski aðeins betur fer inn á þetta með vinnumálastofnun og starfsendurhæfinguna í seinna andsvari	O O O O O F O O O O O O O O O O
8	Virðulegi forseti . Ég vil koma hér upp og lýsa einskærri gleði yfir því hvernig forseti tekur í þetta mál .	virðulegi forseti ég vil koma hér upp og lýsa einskærri gleði yfir því hvernig forseti tekur í þetta mál	O O O C C O O O C O O O O O O C O O O	virðulegi forseti ég koma vil hér upp og lýsa einskærri gleði yfir því hvernig forseti tekur í þetta mál	O O O F F O O O C O O O O O O C O O O
9	Það er greinilegt að hann hefur skoðað þetta , þessi þingsályktunartillaga kemur ekki á óvart .	það er greinilegt að hann hefur skoðað þetta þessi þingsályktunartillaga kemur ekki á óvart	O C O O O C C O O O C O O O	það er greinilegt að skoðað hann hefur þetta þessi þingsályktunartillaga kemur ekki á óvart	O C O O F O F O O O C O O O
