idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
0	Virðulegi forseti . Ég þakka hv. þingmanni fyrir ræðuna , hún var fróðleg fyrir nýjan þingmann eins og mig .	virðulegi forseti ég þakka hv. þingmanni fyrir ræðuna hún var fróðleg fyrir nýjan þingmann eins og mig	O O O C O O O O O C O O O O O O O	virðulegi forseti ég þakka hv. þingmanni fyrir ræðuna hún var fróðleg fyrir nýjan þingmann eins og mig	O O O C O O O O O C O O O O O O O
1	Ég kem hér upp í raun til þess að fá hv. þingmann til að fræða mig aðeins betur .	ég kem hér upp í raun til þess að fá hv. þingmann til að fræða mig aðeins betur	O C O O O O O O O C O O O O C O O O	ég kem hér upp í raun til þess að hv. þingmann fá til að fræða mig aðeins betur	O C O O O O O O O O O F O O C O O O
2	Hv. þingmaður ræddi niðurskurðinn til Vinnumálastofnunar og mér finnst það líka athyglisvert að starfsendurhæfingarsjóður dettur alveg út úr tryggingagjaldinu .	hv. þingmaður ræddi niðurskurðinn til vinnumálastofnunar og mér finnst það líka athyglisvert að starfsendurhæfingarsjóður dettur alveg út úr tryggingagjaldinu	O O C O O O O O C O O O O O C O O O O	hv. þingmaður ræddi niðurskurðinn til vinnumálastofnunar og mér það líka finnst athyglisvert að starfsendurhæfingarsjóður dettur alveg út úr tryggingagjaldinu	O O C O O O O O O O F O O O C O O O O
3	Hvað þykir þingmanninum um þá gjörð ríkisstjórnarinnar ?	hvað þykir þingmanninum um þá gjörð ríkisstjórnarinnar	O C O O O O O	hvað þykir þingmanninum um þá gjörð ríkisstjórnarinnar	O C O O O O O
4	Við sjáum þetta náttúrlega líka með Fæðingarorlofssjóð , þar er tryggingagjaldið , það sem fer í sjóðinn , lækkað um næstum því helming .	við sjáum þetta náttúrlega líka með fæðingarorlofssjóð þar er tryggingagjaldið það sem fer í sjóðinn lækkað um næstum því helming	O C O O O O O O C O O C O O O O O C O O	við þetta náttúrlega sjáum líka með fæðingarorlofssjóð þar tryggingagjaldið það lækkað er um næstum því helming sem í sjóðinn fer	O O O F O O O O O O F F O O O O O O O F
5	Mig langar að spyrja svolítið um reynslu þingmannsins í þessum efnum , því að ég er að læra það hér á þingi og í nefndarstörfum að þetta er bara gert án nokkurs samráðs við þá er eiga í hlut , atvinnulífið og auðvitað launþegana sem borga þetta tryggingagjald líka eða hluta af því eða vinna upp í það .	mig langar að spyrja svolítið um reynslu þingmannsins í þessum efnum því að ég er að læra það hér á þingi og í nefndarstörfum að þetta er bara gert án nokkurs samráðs við þá er eiga í hlut atvinnulífið og auðvitað launþegana sem borga þetta tryggingagjald líka eða hluta af því eða vinna upp í það	O C O O C O O O O O O O O O C O C O O O O O O O O O C O C O O O O O O O O O O C O O O C O O O O O O O O C O O O	mig langar því að svolítið spyrja um reynslu þingmannsins í þessum efnum að ég að það læra hér á þingi er og í nefndarstörfum að þetta bara er gert án nokkurs samráðs við þá atvinnulífið og auðvitað launþegana er eiga í hlut sem borga þetta tryggingagjald líka eða hluta af því eða upp í vinna það	O C O O O F O O O O O O O O O O C O O O F O O O O O O F C O O O O O O O O O O C O O O C O O O O O O O O O O F O
6	Ég vil spyrja hvort það sé venja og þyki eðlilegt að ríkið geti einhliða og án samráðs stillt af hlutfall tryggingagjaldsins og þannig lækkað þessa sjóði án þess að spyrja kóng né prest .	ég vil spyrja hvort það sé venja og þyki eðlilegt að ríkið geti einhliða og án samráðs stillt af hlutfall tryggingagjaldsins og þannig lækkað þessa sjóði án þess að spyrja kóng né prest	O C C O O C O O C O O O C O O O O C O O O O O O O O O C O C O O O	ég hvort sé það spyrja venja vil og þyki eðlilegt að ríkið geti einhliða og án samráðs stillt af hlutfall tryggingagjaldsins og þannig þessa sjóði án þess lækkað að kóng né spyrja prest	O O F O F O F O C O O O C O O O O C O O O O O O O O O C O O O F O
7	Svo fer ég kannski aðeins betur inn á þetta með Vinnumálastofnun og starfsendurhæfinguna í seinna andsvari .	svo fer ég kannski aðeins betur inn á þetta með vinnumálastofnun og starfsendurhæfinguna í seinna andsvari	O C O O O O O O O O O O O O O O	svo ég kannski fer aðeins betur inn á þetta með vinnumálastofnun og starfsendurhæfinguna í seinna andsvari	O O O F O O O O O O O O O O O O
8	Virðulegi forseti . Ég vil koma hér upp og lýsa einskærri gleði yfir því hvernig forseti tekur í þetta mál .	virðulegi forseti ég vil koma hér upp og lýsa einskærri gleði yfir því hvernig forseti tekur í þetta mál	O O O C C O O O C O O O O O O C O O O	virðulegi forseti ég vil hér upp koma og lýsa einskærri gleði yfir því hvernig forseti í þetta mál tekur	O O O C O O F O C O O O O O O O O O F
9	Það er greinilegt að hann hefur skoðað þetta , þessi þingsályktunartillaga kemur ekki á óvart .	það er greinilegt að hann hefur skoðað þetta þessi þingsályktunartillaga kemur ekki á óvart	O C O O O C C O O O C O O O	það er greinilegt að skoðað hann þetta hefur þessi þingsályktunartillaga kemur ekki á óvart	O C O O F O O F O O C O O O
10	Fólk hugsar á sömu nótum og það er mjög gott .	fólk hugsar á sömu nótum og það er mjög gott	O C O O O O O C O O	fólk á sömu nótum og það mjög gott hugsar er	O O O O O O O O F F
11	Mig langar svo að árétta það sem kemur fram í tillögunni að sú kynslóð sem meðal annars ég tilheyri það eru kannski ekki allir af eldri kynslóðinni sem skilja það , þótt það sé svolítið óþægilegt að viðurkenna það hér í ræðustól , hvað Facebook spilar stóran þátt í lífi minnar kynslóðar , þetta er fyrsti staðurinn sem maður dettur inn á á netinu og maður nær sér í upplýsingar þaðan .	mig langar svo að árétta það sem kemur fram í tillögunni að sú kynslóð sem meðal annars ég tilheyri það eru kannski ekki allir af eldri kynslóðinni sem skilja það þótt það sé svolítið óþægilegt að viðurkenna það hér í ræðustól hvað facebook spilar stóran þátt í lífi minnar kynslóðar þetta er fyrsti staðurinn sem maður dettur inn á á netinu og maður nær sér í upplýsingar þaðan	O C O O C O O O O O O O C O O O C O O O O O C O O O O O O O C O C O O O C O O O C O O O O O O C O O O O O O O O C O O O O O O C O O O O	mig langar svo það eru kannski ekki allir af eldri kynslóðinni þetta er fyrsti staðurinn að árétta það að sú kynslóð kemur sem fram í tillögunni sem meðal annars tilheyri ég skilja sem það þótt það sé svolítið óþægilegt að viðurkenna það hér í ræðustól hvað spilar facebook stóran þátt í lífi minnar kynslóðar sem maður inn á á netinu dettur og maður nær sér í upplýsingar þaðan	O C O O C O O O O O O O C O O O C O O O O F O O O O O O O F O F O O O O C O O O C O O O O O F O O O O O O O O O O O O O F O O C O O O O
12	Þetta er þægileg leið til að gera það .	þetta er þægileg leið til að gera það	O C O O O O C O	þetta þægileg er leið til að gera það	O O F O O O C O
13	Nethegðun hefur breyst á þann veg að menn nenna ekki að smella mörgum sinnum með músinni þannig að eftir því sem þægilegra er að nálgast upplýsingar , því líklegra er að maður nái í þær .	nethegðun hefur breyst á þann veg að menn nenna ekki að smella mörgum sinnum með músinni þannig að eftir því sem þægilegra er að nálgast upplýsingar því líklegra er að maður nái í þær	O C C O O O O O O O O O C O O C O O C O O O O O O C O C O O O C O O	nethegðun á þann veg þannig er að eftir því því hefur breyst líklegra að menn nenna ekki að smella mörgum sinnum með músinni sem þægilegra er að nálgast upplýsingar að maður í þær nái	O O O O O F O O O O F F O O O C O O C O O O O O O C O C O O O O O F
14	Ef maður þarf að stíga mörg skref , eins og á hinni ágætu heimasíðu Alþingis , eru meiri líkur á að maður hætti og fari að gera eitthvað annað .	ef maður þarf að stíga mörg skref eins og á hinni ágætu heimasíðu alþingis eru meiri líkur á að maður hætti og fari að gera eitthvað annað	O O C O O O O O O O O C O O C O O O O O C O C O O O C	ef maður eins þarf og á hinni ágætu heimasíðu alþingis að stíga mörg skref eru meiri líkur á hætti að maður og eitthvað annað fari að gera	O O O F O O O O O O O C O O C O O O F O O O O O F O C
15	Þetta er mikilvæg leið til að komast í tengsl við fólkið og ég er ánægð með þessar undirtektir .	þetta er mikilvæg leið til að komast í tengsl við fólkið og ég er ánægð með þessar undirtektir	O C O O O O C O O O O O O C O O O O	þetta mikilvæg leið og er ég ánægð með þessar undirtektir er til að komast í tengsl við fólkið	O O O O F O O O O O F O O C O O O O
16	Herra forseti . Ég tek undir með hv. þm. Katrínu Júlíusdóttur .	herra forseti ég tek undir með hv. þm. katrínu júlíusdóttur	O O O C O O O O O O	herra forseti ég tek undir með hv. þm. katrínu júlíusdóttur	O O O C O O O O O O
