idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
0	Visa alla	visa alla	C O	visa alla	C O
1	En del av innehållet i det här avsnittet kanske inte gäller för vissa språk .	en del av innehållet i det här avsnittet kanske inte gäller för vissa språk	O O O O O O O O O O C O O O	en del av innehållet gäller i det här avsnittet kanske inte för vissa språk	O O O O F O O O O O O O O O
2	Du skapar SQL-frågor i något av två ANSI SQL-frågelägen :	du skapar sql-frågor i något av två ansi sql-frågelägen	O C O O O O O O O	du skapar sql-frågor i något av två ansi sql-frågelägen	O C O O O O O O O
3	ANSI-89 ger den traditionella Jet SQL-syntaxen .	ansi-89 ger den traditionella jet sql-syntaxen	O C O O O O	ansi-89 den traditionella jet sql-syntaxen ger	O O O O O F
4	Detta läge ligger nära specifikationen för ANSI-89 nivå 1 , men det är inte kompatibelt med ANSI-89 nivå 1 .	detta läge ligger nära specifikationen för ansi-89 nivå 1 men det är inte kompatibelt med ansi-89 nivå 1	O O C O O O O O O O O C O O O O O O	detta läge ligger nära specifikationen för ansi-89 nivå 1 men det är inte kompatibelt med ansi-89 nivå 1	O O C O O O O O O O O C O O O O O O
5	Vissa funktioner i ANSI-89 SQL är inte implementerade och jokertecknen är anpassade till specifikationen för Visual Basic for Applications ( VBA ) , inte SQL .	vissa funktioner i ansi-89 sql är inte implementerade och jokertecknen är anpassade till specifikationen för visual basic for applications vba inte sql	O O O O O C O C O O C C O O O O O O O O O O	vissa funktioner i ansi-89 sql inte implementerade är och jokertecknen är anpassade till specifikationen för visual basic for applications vba inte sql	O O O O O O F F O O C C O O O O O O O O O O
6	ANSI-92 ger nya reserverade ord , syntax-regler och jokertecken som förbättrar möjligheterna att skapa frågor , filter och SQL-uttryck .	ansi-92 ger nya reserverade ord syntax-regler och jokertecken som förbättrar möjligheterna att skapa frågor filter och sql-uttryck	O C O O O O O O O C O O C O O O O	ansi-92 ger nya reserverade ord syntax-regler och jokertecken som möjligheterna förbättrar att skapa frågor filter och sql-uttryck	O C O O O O O O O O F O C O O O O
7	Detta läge ligger nära specifikationen för ANSI-92 nivå 1 , men det är inte kompatibelt med ANSI-92 nivå 1 .	detta läge ligger nära specifikationen för ansi-92 nivå 1 men det är inte kompatibelt med ansi-92 nivå 1	O O C O O O O O O O O C O O O O O O	detta läge nära specifikationen för ansi-92 nivå 1 men det inte är kompatibelt ligger med ansi-92 nivå 1	O O O O O O O O O O O C O F O O O O
8	Detta frågeläge innehåller mer ANSI-syntax och jokertecknen är anpassade till SQL-specifikationen .	detta frågeläge innehåller mer ansi-syntax och jokertecknen är anpassade till sql-specifikationen	O O C O O O O C C O O	detta frågeläge innehåller mer ansi-syntax anpassade och jokertecknen till sql-specifikationen är	O O C O O F O O O O F
9	Om du använder ADOX i Microsoft Access 2000 , kan du programmatiskt skapa frågor som använder ANSI-92 SQL-syntax .	om du använder adox i microsoft access 2000 kan du programmatiskt skapa frågor som använder ansi-92 sql-syntax	O O C O O O O O C O O C O O C O O	om du adox använder i microsoft access 2000 skapa du programmatiskt kan frågor som använder ansi-92 sql-syntax	O O O F O O O O F O O F O O C O O
10	Frågor som du skapar syns dock inte i databasfönstret eftersom läget inte går att ange i användargränssnittet .	frågor som du skapar syns dock inte i databasfönstret eftersom läget inte går att ange i användargränssnittet	O C O O O O O O C O O O C O C O O	frågor syns dock inte i databasfönstret som du skapar eftersom läget inte går att i användargränssnittet ange	O C O O O O O O C O O O C O O O F
11	I Access 2002 kan du ange ANSI SQL-frågeläge via användargränssnittet i den aktuella databasen och som standardinställning i nya databaser .	i access 2002 kan du ange ansi sql-frågeläge via användargränssnittet i den aktuella databasen och som standardinställning i nya databaser	O O O C O C O O O O O O O O O O O O O O	i access 2002 du kan ansi sql-frågeläge via användargränssnittet ange i den aktuella databasen och som standardinställning i nya databaser	O O O O F O O O O F O O O O O O O O O O
12	Varför ska jag använda ANSI-92 SQL ?	varför ska jag använda ansi-92 sql	O C O C O O	varför ska jag använda ansi-92 sql	O C O C O O
13	Det kan vara intressant att använda ANSI-92 SQL av följande anledningar :	det kan vara intressant att använda ansi-92 sql av följande anledningar	O C C O O O O O C O O	det kan intressant av följande anledningar vara använda att ansi-92 sql	O C O O O O F F O O O
14	Du funderar på att utvidga programmet till ett Access-projekt i framtiden och vill skapa frågor som behöver så få förändringar som möjligt för att köras i en Microsoft SQL Server-databas .	du funderar på att utvidga programmet till ett access-projekt i framtiden och vill skapa frågor som behöver så få förändringar som möjligt för att köras i en microsoft sql server-databas	O C O O C O O O O O O O C C O O C O O O O O O O C O O O O O	du funderar på utvidga att programmet till ett access-projekt i framtiden och vill skapa frågor som behöver så få förändringar som möjligt köras för att i en microsoft sql server-databas	O C O F O O O O O O O O C C O O C O O O O O F O O O O O O O
15	Du vill utnyttja de nya funktionerna som inte finns i ANSI-89 SQL , till exempel :	du vill utnyttja de nya funktionerna som inte finns i ansi-89 sql till exempel	O C C O O O O O O O C O O O	du de nya funktionerna vill till exempel utnyttja som inte finns i ansi-89 sql	O O O O F O O F O O C O O O
