idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
0	Genom skattereformen införs individuell beskattning ( särbeskattning ) av arbetsinkomster .	genom skattereformen införs individuell beskattning särbeskattning av arbetsinkomster	O O C O O O O O	genom skattereformen införs individuell beskattning särbeskattning av arbetsinkomster	O O C O O O O O
1	Det innebär bl.a. att endast en skatteskala kommer att finnas för beräkning av statlig inkomstskatt .	det innebär bl.a. att endast en skatteskala kommer att finnas för beräkning av statlig inkomstskatt	O C O O O O O C O C O O O O O	det bl.a. innebär att endast en skatteskala kommer att finnas för beräkning av statlig inkomstskatt	O O F O O O O C O C O O O O O
2	Den blir gemensam för alla inkomsttagare oavsett civilstånd .	den blir gemensam för alla inkomsttagare oavsett civilstånd	O C O O O O O O	den blir gemensam för alla inkomsttagare oavsett civilstånd	O C O O O O O O
3	Den gäller även för oskifta dödsbon och familjestiftelser .	den gäller även för oskifta dödsbon och familjestiftelser	O C O O O O O O	den gäller även för oskifta dödsbon och familjestiftelser	O C O O O O O O
4	De inkomster som på detta sätt beskattas individuellt kallas A-inkomster .	de inkomster som på detta sätt beskattas individuellt kallas a-inkomster	O O C O O O O O C O	de inkomster a-inkomster kallas beskattas som på detta sätt individuellt	O O O F F O O O O O
5	Dessa inkomster är * inkomst av tjänst - lön , pension , livränta , undantagsförmåner och övrig tjänsteinkomst . ( Undantag : periodiskt understöd eller därmed jämförlig periodisk inkomst . ) * inkomst av jordbruksfastighet - om den skattskyldige arbetat i jordbruket i ej blott ringa omfattning . * inkomst av rörelse - om den skattskyldige arbetat i rörelsen i ej blott ringa omfattning .	dessa inkomster är inkomst av tjänst lön pension livränta undantagsförmåner och övrig tjänsteinkomst undantag periodiskt understöd eller därmed jämförlig periodisk inkomst inkomst av jordbruksfastighet om den skattskyldige arbetat i jordbruket i ej blott ringa omfattning inkomst av rörelse om den skattskyldige arbetat i rörelsen i ej blott ringa omfattning	O O C O O O O O O O O O O O O O O O O O O O O O O O O O O O C O O O O O O O O O O C O O O O O O O	dessa inkomster inkomst av tjänst lön pension livränta undantagsförmåner och övrig tjänsteinkomst är undantag periodiskt understöd eller därmed jämförlig periodisk inkomst inkomst av jordbruksfastighet inkomst av rörelse om den skattskyldige arbetat i jordbruket i ej blott ringa omfattning om den arbetat skattskyldige i rörelsen i ej blott ringa omfattning	O O O O O O O O O O O O F O O O O O O O O O O O O O O O O O C O O O O O O O O O F O O O O O O O O
6	Makars övriga inkomster är B-inkomster och skall som tidigare sambeskattas .	makars övriga inkomster är b-inkomster och skall som tidigare sambeskattas	O O O C O O C O O C	makars övriga inkomster b-inkomster är och skall som tidigare sambeskattas	O O O O F O C O O C
7	Sådana B-inkomster är t.ex. inkomst av kapital , tillfällig förvärvsverksamhet , periodiskt understöd .	sådana b-inkomster är t.ex. inkomst av kapital tillfällig förvärvsverksamhet periodiskt understöd	O O C O O O O O O O O	sådana b-inkomster t.ex. är inkomst av kapital tillfällig förvärvsverksamhet periodiskt understöd	O O O F O O O O O O O
8	B-inkomster som för makarna sammanlagt uppgår till högst 2000 kr skall dock betraktas som A-inkomst och alltså beskattas individuellt .	b-inkomster som för makarna sammanlagt uppgår till högst 2000 kr skall dock betraktas som a-inkomst och alltså beskattas individuellt	O C O C O O O O O O C O O O O O O C O	b-inkomster betraktas skall dock som a-inkomst som för makarna sammanlagt uppgår till högst 2000 kr och alltså beskattas individuellt	O F F O O O O O O O C O O O O O O C O
9	Frivillig särbeskattning tillämpas sista gången i samband med 1971 års taxering .	frivillig särbeskattning tillämpas sista gången i samband med 1971 års taxering	O O C O O O O O O O O	frivillig särbeskattning tillämpas sista gången i samband med 1971 års taxering	O O C O O O O O O O O
