idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
0	Die doel van die webtuiste vir Suid-Afrikaanse Regeringsdienste is om 'n enkele bron van inligting te bied oor dienste wat deur die Suid-Afrikaanse regering verskaf word .	die doel van die webtuiste vir suid-afrikaanse regeringsdienste is om 'n enkele bron van inligting te bied oor dienste wat deur die suid-afrikaanse regering verskaf word	O O O O O O O O C O O O O O O O C O O O O O O O C C	die doel van die webtuiste vir suid-afrikaanse regeringsdienste is om 'n enkele bron van inligting te bied oor dienste word wat verskaf deur die suid-afrikaanse regering	O O O O O O O O C O O O O O O O C O O F O F O O O O
1	Die oogmerk is om die dispariteit te verminder wat tussen die bemagtigdes en die ontmagtigdes , oftewel die eerste en tweede ekonomieë , bestaan .	die oogmerk is om die dispariteit te verminder wat tussen die bemagtigdes en die ontmagtigdes oftewel die eerste en tweede ekonomieë bestaan	O O C O O O O C O O O O O O O O O O O O O C	die oogmerk is om die dispariteit te verminder wat bestaan tussen die bemagtigdes en die ontmagtigdes oftewel die eerste en tweede ekonomieë	O O C O O O O C O F O O O O O O O O O O O O
2	Die webtuiste is 'n kritiese ingryp wat daarop gerig is om seker te maak dat landsburgers met die regering in interaksie sal kan tree .	die webtuiste is 'n kritiese ingryp wat daarop gerig is om seker te maak dat landsburgers met die regering in interaksie sal kan tree	O O C O O O O O C C O O O C O O O O O O O C C C	die webtuiste is 'n kritiese ingryp wat daarop is gerig om seker te maak dat landsburgers met die regering in interaksie sal kan tree	O O C O O O O O F F O O O C O O O O O O O C C C
3	Die bedoelde gebruikers van die webtuiste is Suid-Afrikaanse burgers in alle dele van die land , huidige of voornemende Suid-Afrikaanse sakeondernemings of organisasies , en burgers en organisasies van ander lande wat dienste deur die Suid-Afrikaanse regering nodig het .	die bedoelde gebruikers van die webtuiste is suid-afrikaanse burgers in alle dele van die land huidige of voornemende suid-afrikaanse sakeondernemings of organisasies en burgers en organisasies van ander lande wat dienste deur die suid-afrikaanse regering nodig het	O O O O O O C O O O O O O O O O O O O O O O O O O O O O O O O O O O O O C	die bedoelde gebruikers van die webtuiste suid-afrikaanse burgers in alle dele van die land is huidige of voornemende suid-afrikaanse sakeondernemings of organisasies en burgers en organisasies van ander lande het wat dienste deur die suid-afrikaanse regering nodig	O O O O O O O O O O O O O O F O O O O O O O O O O O O O O F O O O O O O O
4	'n Kritiese sektor van gebruikers is al die tussengangers , soos die Veeldoelige Gemeenskapsentra ( MPCCs ) , Gemeenskapontwikkelingswerkers ( GOW's ) en die Batho Pele Gateway-inbelsentrum , wat diegene wat nie in staat is om regstreeks toegang tot die Internet te kry nie , sal help om die webtuiste te gebruik .	'n kritiese sektor van gebruikers is al die tussengangers soos die veeldoelige gemeenskapsentra mpccs gemeenskapontwikkelingswerkers gow's en die batho pele gateway-inbelsentrum wat diegene wat nie in staat is om regstreeks toegang tot die internet te kry nie sal help om die webtuiste te gebruik	O O O O O C O O O O O O O O O O O O O O O O O O O O O C C C O O O O O O O C O O O O O C	'n kritiese sektor van gebruikers al die tussengangers soos die veeldoelige gemeenskapsentra mpccs is gemeenskapontwikkelingswerkers gow's en die batho pele gateway-inbelsentrum wat diegene sal wat nie in staat help is om regstreeks toegang tot die internet te kry nie om die webtuiste te gebruik	O O O O O O O O O O O O O F O O O O O O O O O F O O O O F F O O O O O O O C O O O O O C
5	Die webtuiste bevat inligting oor regeringsdienste wat op die nasionale regeringsvlak aangebied word .	die webtuiste bevat inligting oor regeringsdienste wat op die nasionale regeringsvlak aangebied word	O O C O O O O O O O O C C	die webtuiste bevat inligting oor regeringsdienste wat op die nasionale regeringsvlak aangebied word	O O C O O O O O O O O C C
6	Dienste vir buitelandse burgers : inligting wat spesifiek bedoel is vir burgers van ander lande wat toepaslike dienste van die Suid-Afrikaanse regering nodig het .	dienste vir buitelandse burgers inligting wat spesifiek bedoel is vir burgers van ander lande wat toepaslike dienste van die suid-afrikaanse regering nodig het	O O O O O O O O C O O O O O O O O O O O O O C	dienste vir buitelandse burgers inligting wat spesifiek bedoel vir burgers is van ander lande het wat toepaslike dienste van die suid-afrikaanse regering nodig	O O O O O O O O O O F O O O F O O O O O O O O
7	Elk van hierdie kategorieë is verder op so 'n wyse gestruktureer dat dit aanpas by die volgorde van lewensgebeure ( tipiese gebeure in die lewe van 'n burger of 'n sakeonderneming ) .	elk van hierdie kategorieë is verder op so 'n wyse gestruktureer dat dit aanpas by die volgorde van lewensgebeure tipiese gebeure in die lewe van 'n burger of 'n sakeonderneming	O O O O C O O O O O C O O C O O O O O O O O O O O O O O O O	elk van hierdie kategorieë verder op so 'n wyse gestruktureer is dat dit aanpas by die volgorde van lewensgebeure tipiese gebeure in die lewe van 'n burger of 'n sakeonderneming	O O O O O O O O O F F O O C O O O O O O O O O O O O O O O O
8	Hierdie lewensgebeure is verder in kategorieë volgens lewensfases ingedeel .	hierdie lewensgebeure is verder in kategorieë volgens lewensfases ingedeel	O O C O O O O O C	hierdie lewensgebeure is verder in kategorieë volgens lewensfases ingedeel	O O C O O O O O C
9	Inligting ten opsigte van elke diens is volgens sewe sleutelareas gerangskik , naamlik beskrywing , stappe om te volg , wetlike raamwerk , diensstandaard ; koste , vorms om in te vul , en kontakbesonderhede .	inligting ten opsigte van elke diens is volgens sewe sleutelareas gerangskik naamlik beskrywing stappe om te volg wetlike raamwerk diensstandaard koste vorms om in te vul en kontakbesonderhede	O O O O O O C O O O C O O O O O O O O O O O O C O O O C	inligting gerangskik is ten opsigte van elke diens volgens sewe sleutelareas naamlik beskrywing stappe wetlike raamwerk diensstandaard koste vorms en kontakbesonderhede om te volg om in vul te	O F F O O O O O O O O O O O O O O O O O O O O C O O F O
