idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
0	Í fyrstuni var orðið , og orðið var hjá Guði , og orðið var Guð .	í fyrstuni var orðið og orðið var hjá guði og orðið var guð	O O C O O O C O O O O C O	í fyrstuni var orðið og orðið var hjá guði og orðið var guð	O O C O O O C O O O O C O
1	Hetta var í fyrstuni hjá Guði .	hetta var í fyrstuni hjá guði	O C O O O O	hetta í fyrstuni var hjá guði	O O O F O O
2	Allir lutir eru vorðnir til við tí , og uttan tað varð einki til av tí , sum til er vorðið .	allir lutir eru vorðnir til við tí og uttan tað varð einki til av tí sum til er vorðið	O O C C O O O O O O C O O O O O O C C	allir lutir til vorðnir við eru tí og uttan varð tað einki til av tí sum til er vorðið	O O O C O F O O O F O O O O O O O C C
3	Í tí var lív , og lívið var ljós menniskjunnar .	í tí var lív og lívið var ljós menniskjunnar	O O C O O O C O O	í var tí lív var og lívið ljós menniskjunnar	O F O O F O O O O
4	Og ljósið skínur í myrkrinum , og myrkrið tók ikki við tí .	og ljósið skínur í myrkrinum og myrkrið tók ikki við tí	O O C O O O O C O O O	og ljósið skínur í myrkrinum og tók myrkrið ikki við tí	O O C O O O F O O O O
5	Maður kom , sendur frá Guði , hann æt Jóhannes .	maður kom sendur frá guði hann æt jóhannes	O C C O O O C O	maður kom sendur frá guði æt hann jóhannes	O C C O O F O O
6	Hesin kom til vitnisburðar , til tess at hann skuldi vitna um ljósið , fyri at allir skuldu trúgva við honum .	hesin kom til vitnisburðar til tess at hann skuldi vitna um ljósið fyri at allir skuldu trúgva við honum	O C O O O O O O C C O O O O O C C O O	hesin kom til vitnisburðar til tess vitna at hann skuldi um ljósið fyri at skuldu trúgva allir við honum	O C O O O O F O O F O O O O F F O O O
7	Hann var ikki ljósið , men hann skuldi vitna um ljósið .	hann var ikki ljósið men hann skuldi vitna um ljósið	O C O O O O C C O O	hann var ikki ljósið men hann skuldi vitna um ljósið	O C O O O O C C O O
8	Hitt sanna ljósið , sum upplýsir hvörja menniskju , var við at koma í heimin .	hitt sanna ljósið sum upplýsir hvörja menniskju var við at koma í heimin	O O O C O O C O O O C O O	hitt sanna ljósið við at koma var í heimin sum upplýsir hvörja menniskju	O O O O O F F O O O C O O
9	Hann var í heiminum , og heimurin er vorðin til við honum , og heimurin kendi hann ikki .	hann var í heiminum og heimurin er vorðin til við honum og heimurin kendi hann ikki	O C O O O O C C O O O O O C O O	hann í var heiminum og heimurin er vorðin til við honum og heimurin kendi hann ikki	O O F O O O C C O O O O O C O O
10	Hann kom til sítt egna , og hansara egnu tóku ikki í móti honum .	hann kom til sítt egna og hansara egnu tóku ikki í móti honum	O C O O O O O O C O O O O	hann til sítt kom egna og hansara egnu ikki tóku í móti honum	O O O F O O O O O F O O O
11	Men so mongum , sum tóku í móti honum , teimum gav hann mátt til at verða Guðs börn , teimum , sum trúgva á navn hansara , sum ikki eru gitnir av blóði , ei heldur av holds vilja , ei heldur av mans vilja , men av Guði .	men so mongum sum tóku í móti honum teimum gav hann mátt til at verða guðs börn teimum sum trúgva á navn hansara sum ikki eru gitnir av blóði ei heldur av holds vilja ei heldur av mans vilja men av guði	O O O O C O O O O O O O O O C O O O O O O O O O O O O O O O O C O O O C O C O O O C	men so eru mongum teimum hann mátt til at guðs börn teimum gav sum ikki av blóði ei heldur av holds vilja ei heldur av mans vilja men av guði sum tóku í móti honum verða sum trúgva á navn hansara gitnir	O O F O O O O O O O O O F O O O O O O O O O O O O O O O O O O C O O O C O C O O O C
12	Og orðið varð hold og tók búgv okkara millum , og vit skoðaðu dýrd hansara , dýrd , sum einborin sonur hevur frá faðir sínum , fulla av náði og sannleika .	og orðið varð hold og tók búgv okkara millum og vit skoðaðu dýrd hansara dýrd sum einborin sonur hevur frá faðir sínum fulla av náði og sannleika	O O C O O C O O O O O C O O O O O O C O O O O O O O O	og orðið varð hold og búgv okkara millum tók og vit dýrd hansara dýrd sum einborin sonur skoðaðu frá faðir sínum fulla hevur av náði og sannleika	O O C O O O O O F O O O O O O O O F O O O O F O O O O
13	"Jóhannes vitnar um hann og rópar og sigur : "" Hetta var hann , sum eg segði um : Tann , sum kemur aftan á meg , er komin undan mær ; tí at hann var fyrr enn eg . """	jóhannes vitnar um hann og rópar og sigur hetta var hann sum eg segði um tann sum kemur aftan á meg er komin undan mær tí at hann var fyrr enn eg	O C O O O C O C O C O O O C O O C C O O O O O C O O O O C O O O	jóhannes um vitnar hann og rópar og sigur var hetta hann sum eg um segði tann er komin undan mær tí at hann var fyrr enn eg sum kemur aftan á meg	O O F O O C O C F O O O O O F O C C O O O O O C O O O O C O O O
14	Tí at av fylling hansara hava vit allir fingið , og tað náði oman á náði ; tí at lógin varð givin við Mósesi , náðin og sannleikin komu við Jesusi Kristi .	tí at av fylling hansara hava vit allir fingið og tað náði oman á náði tí at lógin varð givin við mósesi náðin og sannleikin komu við jesusi kristi	O O O O O O O O O O O O C O O C O O C C O O O O O C O O O	tí og tað náði oman á náði tí at av fylling hansara hava vit allir fingið at givin lógin varð við mósesi náðin og sannleikin við jesusi komu kristi	O O O O O O O O O O O O C O O C O F O F O O O O O O O F O
15	Eingin hevur á nökrum sinni sæð Guð ; hin einborni sonurin , sum er í fangi faðirsins , hann hevur kunngjört hann .	eingin hevur á nökrum sinni sæð guð hin einborni sonurin sum er í fangi faðirsins hann hevur kunngjört hann	O C O O O C O O O O O C O O O O C C O	eingin hevur á nökrum sinni sæð guð hin einborni sonurin sum er í fangi faðirsins kunngjört hann hevur hann	O C O O O C O O O O O C O O O F O F O
16	"Og hetta er vitnisburður Jóhannesar , tá ið Jödarnir sendu prestar og Levitar frá Jerúsalem til tess at spyrja hann : "" Hvör ert tú ? """	og hetta er vitnisburður jóhannesar tá ið jödarnir sendu prestar og levitar frá jerúsalem til tess at spyrja hann hvör ert tú	O O C O O O O O C O O O O O O O O C O O C O	og hetta er vitnisburður jóhannesar tá ið jödarnir prestar og levitar frá sendu jerúsalem til tess at hann hvör spyrja ert tú	O O C O O O O O O O O O F O O O O O O F C O
17	"Og hann ásannaði og noktaði ikki , og hann ásannaði : "" Eg eri ikki Kristus . """	og hann ásannaði og noktaði ikki og hann ásannaði eg eri ikki kristus	O O C O C O O O C O C O O	og ásannaði hann og ikki noktaði ásannaði og hann eri eg ikki kristus	O F O O O F F O O F O O O
18	"Og teir spurdu hann : "" Hvat tá ?"	og teir spurdu hann hvat tá	O O C O O O	og teir spurdu hann hvat tá	O O C O O O
19	"Ert tú Elia ? """	ert tú elia	C O O	tú ert elia	O F O
20	"Hann sigur : "" Ikki eri eg tað . """	hann sigur ikki eri eg tað	O C O C O O	hann sigur ikki eri eg tað	O C O C O O
21	""" Ert tú profeturin ? """	ert tú profeturin	C O O	ert tú profeturin	C O O
22	"Og hann svaraði : "" Nei . """	og hann svaraði nei	O O C O	og hann svaraði nei	O O C O
