idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
0	Dat is alvast meegenomen , mocht over zes maanden blijken dat de inhoud tegenvalt .	dat is alvast meegenomen mocht over zes maanden blijken dat de inhoud tegenvalt	O C O C C O O O C O O O C	dat is alvast meegenomen over zes maanden mocht blijken tegenvalt dat de inhoud	O C O C O O O F C F O O O
1	De breuk in de federale regering van Joegoslavië kan volgens de Servische premier Djindjic nog worden gelijmd .	de breuk in de federale regering van joegoslavië kan volgens de servische premier djindjic nog worden gelijmd	O O O O O O O O C O O O O O O C C	de breuk worden gelijmd in de federale regering van joegoslavië kan volgens de servische premier djindjic nog	O O F F O O O O O O F O O O O O O
2	Djindjic zei dat dit weekeinde in reactie op de ernstige politieke crisis in Joegoslavië .	djindjic zei dat dit weekeinde in reactie op de ernstige politieke crisis in joegoslavië	O C O O O O O O O O O O O O	djindjic zei dat dit weekeinde in reactie op de ernstige politieke crisis in joegoslavië	O C O O O O O O O O O O O O
3	Uit woede over de uitlevering van ex-president Milosevic stapte vrijdag de Montenegrijnse partij SNP uit de Joegoslavische regering .	uit woede over de uitlevering van ex-president milosevic stapte vrijdag de montenegrijnse partij snp uit de joegoslavische regering	O O O O O O O O C O O O O O O O O O	uit woede over de uitlevering van ex-president milosevic stapte vrijdag de montenegrijnse partij snp uit de joegoslavische regering	O O O O O O O O C O O O O O O O O O
4	Als de crisis niet wordt opgelost , is het niet ondenkbaar dat de federatie Joegoslavië definitief uiteenvalt .	als de crisis niet wordt opgelost is het niet ondenkbaar dat de federatie joegoslavië definitief uiteenvalt	O O O O C C C O O O O O O O O C	als de crisis niet wordt opgelost is het niet ondenkbaar dat de federatie joegoslavië definitief uiteenvalt	O O O O C C C O O O O O O O O C
5	Alleen Servië en Montenegro maken er nog deel van uit .	alleen servië en montenegro maken er nog deel van uit	O O O O C O O O O O	alleen servië en montenegro er maken nog deel van uit	O O O O O F O O O O
6	Verkiezingen lossen op dit moment niets op , vindt Djindjic .	verkiezingen lossen op dit moment niets op vindt djindjic	O C O O O O O C O	verkiezingen op dit moment niets lossen op djindjic vindt	O O O O O F O O F
7	Volgens de Servische premier kan beter de federale grondwet worden vernieuwd .	volgens de servische premier kan beter de federale grondwet worden vernieuwd	O O O O C O O O O C C	volgens de servische premier kan beter de federale grondwet vernieuwd worden	O O O O C O O O O F F
8	Die regelt de verhouding tussen het machtige Servië en kleine buur Montenegro .	die regelt de verhouding tussen het machtige servië en kleine buur montenegro	O C O O O O O O O O O O	die regelt de verhouding tussen het machtige servië en kleine buur montenegro	O C O O O O O O O O O O
9	,, We hebben een concept nodig voor verandering '' , zei Djindjic in een interview met de Duitse televisie .	,, we hebben een concept nodig voor verandering '' zei djindjic in een interview met de duitse televisie	O O C O O O O O O C O O O O O O O O	,, we een concept nodig voor verandering hebben '' zei djindjic in een interview met de duitse televisie	O O O O O O O F O C O O O O O O O O
10	De Montenegrijnse partij SNP is woest dat zij buiten de uitlevering van Milosevic is gehouden .	de montenegrijnse partij snp is woest dat zij buiten de uitlevering van milosevic is gehouden	O O O O C O O O O O O O O C C	de montenegrijnse partij snp gehouden is woest dat zij buiten de uitlevering van milosevic is	O O O O F F O O O O O O O O F
11	Politieke waarnemers denken dat de Montenegrijnse ministers van de partij SNP , de voormalige bondgenoten van Milosevic , snel op hun schreden terug zullen keren en in de nieuwe regering plaats zullen nemen .	politieke waarnemers denken dat de montenegrijnse ministers van de partij snp de voormalige bondgenoten van milosevic snel op hun schreden terug zullen keren en in de nieuwe regering plaats zullen nemen	O O C O O O O O O O O O O O O O O O O O O C C O O O O O O C C	politieke waarnemers denken dat de montenegrijnse ministers van de partij snp de voormalige bondgenoten van milosevic snel op hun schreden terug zullen keren en in de nieuwe regering nemen plaats zullen	O O C O O O O O O O O O O O O O O O O O O C C O O O O O F O F
12	In Montenegro zelf is weinig animo voor de dialoog die Servië aanbiedt .	in montenegro zelf is weinig animo voor de dialoog die servië aanbiedt	O O O C O O O O O O O C	in montenegro zelf is weinig animo voor de dialoog die servië aanbiedt	O O O C O O O O O O O C
13	,, Ik denk dat Servië en Montenegro nu juist veel makkelijker overeenstemming zullen bereiken over het vormen van een unie van onafhankelijke staten '' , zei de Montenegrijnse premier Vujanovic .	,, ik denk dat servië en montenegro nu juist veel makkelijker overeenstemming zullen bereiken over het vormen van een unie van onafhankelijke staten '' zei de montenegrijnse premier vujanovic	O O C O O O O O O O O O O C C O O C O O O O O O C O O O O	,, ik denk '' dat servië bereiken en montenegro nu juist zullen veel makkelijker overeenstemming over het vormen van een unie van onafhankelijke staten zei de montenegrijnse premier vujanovic	O O C O O O F O O O O F O O O O O C O O O O O O C O O O O
14	,, En als Servië geen interesse heeft in een unie met ons , dan roepen we binnenkort de onafhankelijkheid uit . ''	,, en als servië geen interesse heeft in een unie met ons dan roepen we binnenkort de onafhankelijkheid uit ''	O O O C O O O O O O O O O O C O O O O O	,, en dan roepen we binnenkort de onafhankelijkheid uit '' als servië heeft geen interesse in een unie met ons	O O O C O O O O O O O O F O O O O O O O
15	Het Joegoslavische persbureau Tanjug meldde dat president Kostunica vandaag begint met het overleg over de samenstelling van een nieuwe federale regering .	het joegoslavische persbureau tanjug meldde dat president kostunica vandaag begint met het overleg over de samenstelling van een nieuwe federale regering	O O O O C O O O O C O O O O O O O O O O O	het joegoslavische persbureau tanjug meldde dat president kostunica vandaag begint met het overleg over de samenstelling van een nieuwe federale regering	O O O O C O O O O C O O O O O O O O O O O
16	Waarnemers verwachten dat het westen grote druk zal uitoefenen op de komende Joegoslavische regering om de breuk in de federatie te lijmen .	waarnemers verwachten dat het westen grote druk zal uitoefenen op de komende joegoslavische regering om de breuk in de federatie te lijmen	O C O O O O O C C O O C O O O O O O O O O C	waarnemers verwachten uitoefenen dat het westen zal grote druk op komende de joegoslavische regering om de breuk in de federatie te lijmen	O C F O O O F O O O F O O O O O O O O O O C
17	Het Westen wil voorkomen dat Montenegro de onafhankelijkheid uitroept .	het westen wil voorkomen dat montenegro de onafhankelijkheid uitroept	O O C C O O O O C	het wil westen voorkomen dat uitroept montenegro de onafhankelijkheid	O F O C O F O O O
18	Dat zou namelijk koren op de molen zijn van bijvoorbeeld Albanese rebellen in Macedonië en Kosovo .	dat zou namelijk koren op de molen zijn van bijvoorbeeld albanese rebellen in macedonië en kosovo	O C O O O O O C O O O O O O O O	dat zou zijn namelijk koren op de molen van bijvoorbeeld albanese rebellen in macedonië en kosovo	O C F O O O O O O O O O O O O O
19	Een probleem is dat de federale regering tot nu toe bestond uit curieuze partners .	een probleem is dat de federale regering tot nu toe bestond uit curieuze partners	O O C O O O O O O O C O O O	een is probleem dat de federale regering tot bestond nu toe uit curieuze partners	O F O O O O O O F O O O O O
20	De Servische hervormers van DOS zaten in een coalitie met de Montenegrijnse nationalisten van de SNP .	de servische hervormers van dos zaten in een coalitie met de montenegrijnse nationalisten van de snp	O O O O O C O O O O O O O O O O	de servische hervormers van dos zaten in een coalitie met de montenegrijnse nationalisten van de snp	O O O O O C O O O O O O O O O O
21	Hun onenigheid over de samenwerking met het Joegoslavië-Tribunaal maakte duidelijk hoe breekbaar de federatie is .	hun onenigheid over de samenwerking met het joegoslavië-tribunaal maakte duidelijk hoe breekbaar de federatie is	O O O O O O O O C O O O O O C	hun onenigheid is over de samenwerking met het joegoslavië-tribunaal maakte duidelijk hoe breekbaar de federatie	O O F O O O O O O F O O O O O
