idx	original	no_punc_lower	adjacent	adjacent_gold	random	random_gold
0	Die doel van die webtuiste vir Suid-Afrikaanse Regeringsdienste is om 'n enkele bron van inligting te bied oor dienste wat deur die Suid-Afrikaanse regering verskaf word .	die doel van die webtuiste vir suid-afrikaanse regeringsdienste is om 'n enkele bron van inligting te bied oor dienste wat deur die suid-afrikaanse regering verskaf word	die doel van die webtuiste vir suid-afrikaanse regeringsdienste om is 'n enkele bron van inligting bied te oor dienste wat deur die suid-afrikaanse regering verskaf word	O O O O O O O O O F O O O O O F O O O O O O O O C C	die doel van die webtuiste vir suid-afrikaanse regeringsdienste om 'n enkele bron van inligting te bied oor dienste wat is deur die suid-afrikaanse verskaf regering word	O O O O O O O O O O O O O O O C O O O F O O O F O C
1	Die oogmerk is om die dispariteit te verminder wat tussen die bemagtigdes en die ontmagtigdes , oftewel die eerste en tweede ekonomieë , bestaan .	die oogmerk is om die dispariteit te verminder wat tussen die bemagtigdes en die ontmagtigdes oftewel die eerste en tweede ekonomieë bestaan	die oogmerk om is die dispariteit verminder te wat tussen die bemagtigdes en die ontmagtigdes oftewel die eerste en tweede ekonomieë bestaan	O O O F O O F O O O O O O O O O O O O O O C	die oogmerk om die dispariteit te wat tussen die bemagtigdes en die ontmagtigdes oftewel verminder die eerste en tweede ekonomieë is bestaan	O O O O O O O O O O O O O O F O O O O O F C
2	Die webtuiste is 'n kritiese ingryp wat daarop gerig is om seker te maak dat landsburgers met die regering in interaksie sal kan tree .	die webtuiste is 'n kritiese ingryp wat daarop gerig is om seker te maak dat landsburgers met die regering in interaksie sal kan tree	die webtuiste is 'n kritiese ingryp wat daarop gerig is om seker te maak dat landsburgers met die regering in interaksie sal kan tree	O O C O O O O O F F O O O C O O O O O O O C F F	kan maak die webtuiste is 'n sal kritiese ingryp wat daarop gerig is om seker te dat landsburgers met die regering in interaksie tree	F F O O C O F O O O O C C O O O O O O O O O O C
3	Die bedoelde gebruikers van die webtuiste is Suid-Afrikaanse burgers in alle dele van die land , huidige of voornemende Suid-Afrikaanse sakeondernemings of organisasies , en burgers en organisasies van ander lande wat dienste deur die Suid-Afrikaanse regering nodig het .	die bedoelde gebruikers van die webtuiste is suid-afrikaanse burgers in alle dele van die land huidige of voornemende suid-afrikaanse sakeondernemings of organisasies en burgers en organisasies van ander lande wat dienste deur die suid-afrikaanse regering nodig het	die bedoelde gebruikers van die webtuiste is suid-afrikaanse burgers in alle dele van die land huidige of voornemende suid-afrikaanse sakeondernemings of organisasies en burgers en organisasies van ander lande wat dienste deur die suid-afrikaanse regering nodig het	O O O O O O C O O O O O O O O O O O O O O O O O O O O O O O O O O O O O C	die bedoelde gebruikers van die webtuiste suid-afrikaanse burgers in alle dele van die land huidige of voornemende suid-afrikaanse sakeondernemings of is organisasies en burgers en organisasies van ander lande wat dienste deur die suid-afrikaanse regering nodig het	O O O O O O O O O O O O O O O O O O O O F O O O O O O O O O O O O O O O C
4	'n Kritiese sektor van gebruikers is al die tussengangers , soos die Veeldoelige Gemeenskapsentra ( MPCCs ) , Gemeenskapontwikkelingswerkers ( GOW's ) en die Batho Pele Gateway-inbelsentrum , wat diegene wat nie in staat is om regstreeks toegang tot die Internet te kry nie , sal help om die webtuiste te gebruik .	'n kritiese sektor van gebruikers is al die tussengangers soos die veeldoelige gemeenskapsentra mpccs gemeenskapontwikkelingswerkers gow's en die batho pele gateway-inbelsentrum wat diegene wat nie in staat is om regstreeks toegang tot die internet te kry nie sal help om die webtuiste te gebruik	'n kritiese sektor van gebruikers al is die tussengangers soos die veeldoelige gemeenskapsentra mpccs gemeenskapontwikkelingswerkers gow's en die batho pele gateway-inbelsentrum wat diegene wat nie in is staat om regstreeks toegang tot die internet te kry nie sal om help die webtuiste gebruik te	O O O O O O F O O O O O O O O O O O O O O O O O O O F O O O O O O O O C O C O F O O F O	'n kritiese sektor van gebruikers al die tussengangers soos die veeldoelige gemeenskapsentra mpccs gemeenskapontwikkelingswerkers gow's en die batho pele gateway-inbelsentrum wat help diegene wat nie is in staat is om regstreeks toegang tot die internet te nie sal om die webtuiste te kry gebruik	O O O O O O O O O O O O O O O O O O O O O F O O O F O O C O O O O O O O O C O O O O F C
5	Die webtuiste bevat inligting oor regeringsdienste wat op die nasionale regeringsvlak aangebied word .	die webtuiste bevat inligting oor regeringsdienste wat op die nasionale regeringsvlak aangebied word	die webtuiste bevat inligting oor regeringsdienste wat op die nasionale regeringsvlak aangebied word	O O C O O O O O O O O C C	die webtuiste inligting oor regeringsdienste wat op die bevat nasionale regeringsvlak aangebied word	O O O O O O O O F O O C C
6	Dienste vir buitelandse burgers : inligting wat spesifiek bedoel is vir burgers van ander lande wat toepaslike dienste van die Suid-Afrikaanse regering nodig het .	dienste vir buitelandse burgers inligting wat spesifiek bedoel is vir burgers van ander lande wat toepaslike dienste van die suid-afrikaanse regering nodig het	dienste vir buitelandse burgers inligting wat spesifiek bedoel vir is burgers van ander lande wat toepaslike dienste van die suid-afrikaanse regering het nodig	O O O O O O O O O F O O O O O O O O O O O F O	dienste vir buitelandse is burgers inligting wat spesifiek bedoel vir burgers van ander lande wat toepaslike dienste van die suid-afrikaanse regering nodig het	O O O F O O O O O O O O O O O O O O O O O O C
7	Elk van hierdie kategorieë is verder op so 'n wyse gestruktureer dat dit aanpas by die volgorde van lewensgebeure ( tipiese gebeure in die lewe van 'n burger of 'n sakeonderneming ) .	elk van hierdie kategorieë is verder op so 'n wyse gestruktureer dat dit aanpas by die volgorde van lewensgebeure tipiese gebeure in die lewe van 'n burger of 'n sakeonderneming	elk van hierdie kategorieë is verder op so 'n wyse dat gestruktureer aanpas dit by die volgorde van lewensgebeure tipiese gebeure in die lewe van 'n burger of 'n sakeonderneming	O O O O C O O O O O O F F O O O O O O O O O O O O O O O O O	elk van hierdie kategorieë verder op so 'n wyse dat dit aanpas gestruktureer by die volgorde van lewensgebeure tipiese gebeure in die is lewe van 'n burger of 'n sakeonderneming	O O O O O O O O O O O C F O O O O O O O O O F O O O O O O O
8	Hierdie lewensgebeure is verder in kategorieë volgens lewensfases ingedeel .	hierdie lewensgebeure is verder in kategorieë volgens lewensfases ingedeel	hierdie lewensgebeure is verder in kategorieë volgens lewensfases ingedeel	O O C O O O O O C	hierdie is lewensgebeure verder in kategorieë volgens lewensfases ingedeel	O F O O O O O O C
9	Inligting ten opsigte van elke diens is volgens sewe sleutelareas gerangskik , naamlik beskrywing , stappe om te volg , wetlike raamwerk , diensstandaard ; koste , vorms om in te vul , en kontakbesonderhede .	inligting ten opsigte van elke diens is volgens sewe sleutelareas gerangskik naamlik beskrywing stappe om te volg wetlike raamwerk diensstandaard koste vorms om in te vul en kontakbesonderhede	inligting ten opsigte van elke diens volgens is sewe gerangskik sleutelareas naamlik beskrywing stappe om te volg wetlike raamwerk diensstandaard koste vorms om in te vul en kontakbesonderhede	O O O O O O O F O F O O O O O O C O O O O O O O O C O O	inligting ten opsigte van elke diens volgens sewe sleutelareas gerangskik naamlik beskrywing stappe om te volg wetlike raamwerk diensstandaard is koste vul vorms om in te en kontakbesonderhede	O O O O O O O O O C O O O O O C O O O F O F O O O O O O
10	Hierdie afdeling van die webtuiste , wat in die regterkantste navigasiebalk vertoon word , bevat skakels na die webtuistes wat aan daardie lewensgebeurtenis verwant is .	hierdie afdeling van die webtuiste wat in die regterkantste navigasiebalk vertoon word bevat skakels na die webtuistes wat aan daardie lewensgebeurtenis verwant is	hierdie afdeling van die webtuiste wat in die regterkantste navigasiebalk vertoon word bevat skakels na die webtuistes wat aan daardie lewensgebeurtenis verwant is	O O O O O O O O O O F F C O O O O O O O O O C	hierdie afdeling is van die webtuiste wat in die regterkantste navigasiebalk vertoon word bevat skakels na die webtuistes wat aan daardie lewensgebeurtenis verwant	O O F O O O O O O O O F C C O O O O O O O O O
