idx	original	no_punc_lower	adjacent	adjacent_gold	random	random_gold
0	Í fyrstuni var orðið , og orðið var hjá Guði , og orðið var Guð .	í fyrstuni var orðið og orðið var hjá guði og orðið var guð	í fyrstuni orðið var og var orðið hjá guði og orðið var guð	O O O F O F O O O O O C O	í fyrstuni orðið og orðið var hjá guði og var orðið var guð	O O O O O C O O O F O C O
1	Hetta var í fyrstuni hjá Guði .	hetta var í fyrstuni hjá guði	hetta var í fyrstuni hjá guði	O C O O O O	hetta var í fyrstuni hjá guði	O C O O O O
2	Allir lutir eru vorðnir til við tí , og uttan tað varð einki til av tí , sum til er vorðið .	allir lutir eru vorðnir til við tí og uttan tað varð einki til av tí sum til er vorðið	allir lutir eru vorðnir til við tí og uttan tað varð einki til av tí sum til er vorðið	O O F F O O O O O O C O O O O O O C C	allir lutir eru vorðnir til við tí og uttan tað einki er til varð av tí sum til vorðið	O O C C O O O O O O O F O F O O O O C
3	Í tí var lív , og lívið var ljós menniskjunnar .	í tí var lív og lívið var ljós menniskjunnar	í tí lív var og var lívið ljós menniskjunnar	O O O F O F O O O	í var tí lív og lívið var ljós menniskjunnar	O F O O O O C O O
4	Og ljósið skínur í myrkrinum , og myrkrið tók ikki við tí .	og ljósið skínur í myrkrinum og myrkrið tók ikki við tí	og ljósið skínur í myrkrinum og myrkrið ikki tók við tí	O O C O O O O O F O O	og ljósið skínur í myrkrinum og tók myrkrið ikki við tí	O O C O O O F O O O O
5	Maður kom , sendur frá Guði , hann æt Jóhannes .	maður kom sendur frá guði hann æt jóhannes	kom maður sendur frá guði hann æt jóhannes	F O C O O O C O	maður kom sendur æt frá guði hann jóhannes	O C C F O O O O
6	Hesin kom til vitnisburðar , til tess at hann skuldi vitna um ljósið , fyri at allir skuldu trúgva við honum .	hesin kom til vitnisburðar til tess at hann skuldi vitna um ljósið fyri at allir skuldu trúgva við honum	hesin til kom vitnisburðar til tess at skuldi hann vitna um ljósið fyri at allir skuldu við trúgva honum	O O F O O O O F O C O O O O O C O F O	trúgva hesin kom til vitnisburðar til tess at hann vitna um ljósið fyri at allir skuldu við honum skuldi	F O C O O O O O O C O O O O O C O O F
7	Hann var ikki ljósið , men hann skuldi vitna um ljósið .	hann var ikki ljósið men hann skuldi vitna um ljósið	var hann ikki ljósið men hann skuldi vitna um ljósið	F O O O O O C C O O	hann ikki ljósið var men hann skuldi vitna um ljósið	O O O F O O C C O O
8	Hitt sanna ljósið , sum upplýsir hvörja menniskju , var við at koma í heimin .	hitt sanna ljósið sum upplýsir hvörja menniskju var við at koma í heimin	hitt sanna ljósið sum hvörja upplýsir var menniskju við at koma í heimin	O O O O O F F O O O C O O	hitt sanna ljósið sum upplýsir hvörja menniskju var við at í heimin koma	O O O O C O O C O O O O F
9	Hann var í heiminum , og heimurin er vorðin til við honum , og heimurin kendi hann ikki .	hann var í heiminum og heimurin er vorðin til við honum og heimurin kendi hann ikki	hann var í heiminum og heimurin er vorðin til við honum og heimurin kendi hann ikki	O C O O O O F F O O O O O C O O	hann í heiminum og heimurin er til við honum var og heimurin kendi hann vorðin ikki	O O O O O C O O O F O O C O F O
10	Hann kom til sítt egna , og hansara egnu tóku ikki í móti honum .	hann kom til sítt egna og hansara egnu tóku ikki í móti honum	hann kom til sítt egna og hansara egnu ikki tóku í móti honum	O C O O O O O O O F O O O	hann til sítt egna og hansara egnu tóku ikki í móti kom honum	O O O O O O O C O O O F O
11	Men so mongum , sum tóku í móti honum , teimum gav hann mátt til at verða Guðs börn , teimum , sum trúgva á navn hansara , sum ikki eru gitnir av blóði , ei heldur av holds vilja , ei heldur av mans vilja , men av Guði .	men so mongum sum tóku í móti honum teimum gav hann mátt til at verða guðs börn teimum sum trúgva á navn hansara sum ikki eru gitnir av blóði ei heldur av holds vilja ei heldur av mans vilja men av guði	men so mongum tóku sum í móti honum teimum gav hann mátt til at verða guðs börn teimum sum á trúgva navn hansara sum eru ikki gitnir av blóði ei heldur av holds vilja ei heldur av mans vilja men av guði	O O O F O O O O O C O O O O C O O O O O F O O O F O C O O O O O O O O O O O O O O O	men so mongum sum tóku í móti honum teimum hann mátt til at guðs gav börn teimum sum trúgva á navn hansara sum ikki gitnir av blóði ei heldur av holds vilja ei heldur av mans verða vilja men av guði eru	O O O O C O O O O O O O O O F O O O C O O O O O C O O O O O O O O O O O F O O O O F
12	Og orðið varð hold og tók búgv okkara millum , og vit skoðaðu dýrd hansara , dýrd , sum einborin sonur hevur frá faðir sínum , fulla av náði og sannleika .	og orðið varð hold og tók búgv okkara millum og vit skoðaðu dýrd hansara dýrd sum einborin sonur hevur frá faðir sínum fulla av náði og sannleika	og orðið varð hold og búgv tók okkara millum og skoðaðu vit dýrd hansara dýrd sum einborin sonur hevur frá faðir sínum fulla av náði og sannleika	O O C O O O F O O O F O O O O O O O C O O O O O O O O	og orðið hold og tók búgv okkara millum hevur og vit skoðaðu dýrd hansara dýrd sum einborin sonur frá faðir sínum fulla av náði varð og sannleika	O O O O C O O O F O O C O O O O O O O O O O O O F O O
13	"Jóhannes vitnar um hann og rópar og sigur : "" Hetta var hann , sum eg segði um : Tann , sum kemur aftan á meg , er komin undan mær ; tí at hann var fyrr enn eg . """	jóhannes vitnar um hann og rópar og sigur hetta var hann sum eg segði um tann sum kemur aftan á meg er komin undan mær tí at hann var fyrr enn eg	jóhannes vitnar um hann og sigur rópar og hetta var hann sum eg segði um tann sum aftan kemur á er meg komin undan mær tí at hann var fyrr enn eg	O C O O O F F O O C O O O C O O O O F O F O C O O O O O C O O O	jóhannes vitnar um er hann og rópar og hetta hann segði sum eg um tann sigur sum kemur aftan á meg var komin undan mær tí at hann var fyrr enn eg	O C O F O O C O O O F O O O O F O C O O O F C O O O O O C O O O
14	Tí at av fylling hansara hava vit allir fingið , og tað náði oman á náði ; tí at lógin varð givin við Mósesi , náðin og sannleikin komu við Jesusi Kristi .	tí at av fylling hansara hava vit allir fingið og tað náði oman á náði tí at lógin varð givin við mósesi náðin og sannleikin komu við jesusi kristi	tí at av fylling hansara vit hava fingið allir og tað náði oman á náði tí at lógin varð givin við mósesi náðin og sannleikin við komu jesusi kristi	O O O O O O F F O O O O O O O O O O C C O O O O O O F O O	tí at av fingið fylling hansara vit varð allir og tað náði oman á náði tí at lógin givin við mósesi náðin og sannleikin komu við jesusi kristi hava	O O O F O O O F O O O O O O O O O O C O O O O O C O O O F
