idx	original	no_punc_lower	adjacent	adjacent_gold	random	random_gold
0	Visa alla	visa alla	alla visa	O F	alla visa	O F
1	En del av innehållet i det här avsnittet kanske inte gäller för vissa språk .	en del av innehållet i det här avsnittet kanske inte gäller för vissa språk	en del av innehållet i det här avsnittet kanske gäller inte för vissa språk	O O O O O O O O O F O O O O	gäller en del av innehållet i det här avsnittet kanske inte för vissa språk	F O O O O O O O O O O O O O
2	Du skapar SQL-frågor i något av två ANSI SQL-frågelägen :	du skapar sql-frågor i något av två ansi sql-frågelägen	du skapar sql-frågor i något av två ansi sql-frågelägen	O C O O O O O O O	du skapar sql-frågor i något av två ansi sql-frågelägen	O C O O O O O O O
3	ANSI-89 ger den traditionella Jet SQL-syntaxen .	ansi-89 ger den traditionella jet sql-syntaxen	ansi-89 ger den traditionella jet sql-syntaxen	O C O O O O	ansi-89 den traditionella jet sql-syntaxen ger	O O O O O F
4	Detta läge ligger nära specifikationen för ANSI-89 nivå 1 , men det är inte kompatibelt med ANSI-89 nivå 1 .	detta läge ligger nära specifikationen för ansi-89 nivå 1 men det är inte kompatibelt med ansi-89 nivå 1	detta läge nära ligger specifikationen för ansi-89 nivå 1 men är det inte kompatibelt med ansi-89 nivå 1	O O O F O O O O O O F O O O O O O O	detta ligger läge nära specifikationen för ansi-89 nivå 1 men det är inte kompatibelt med ansi-89 nivå 1	O F O O O O O O O O O C O O O O O O
5	Vissa funktioner i ANSI-89 SQL är inte implementerade och jokertecknen är anpassade till specifikationen för Visual Basic for Applications ( VBA ) , inte SQL .	vissa funktioner i ansi-89 sql är inte implementerade och jokertecknen är anpassade till specifikationen för visual basic for applications vba inte sql	vissa funktioner i ansi-89 sql är inte implementerade och jokertecknen är anpassade till specifikationen för visual basic for applications vba inte sql	O O O O O C O C O O F F O O O O O O O O O O	vissa funktioner i ansi-89 är sql är inte och jokertecknen anpassade till specifikationen för visual basic for implementerade applications vba inte sql	O O O O F O C O O O C O O O O O O F O O O O
6	ANSI-92 ger nya reserverade ord , syntax-regler och jokertecken som förbättrar möjligheterna att skapa frågor , filter och SQL-uttryck .	ansi-92 ger nya reserverade ord syntax-regler och jokertecken som förbättrar möjligheterna att skapa frågor filter och sql-uttryck	ansi-92 ger nya reserverade ord syntax-regler och jokertecken som förbättrar möjligheterna att frågor skapa filter och sql-uttryck	O C O O O O O O O C O O O F O O O	ansi-92 nya reserverade ord syntax-regler och jokertecken som möjligheterna att skapa frågor filter ger förbättrar och sql-uttryck	O O O O O O O O O O C O O F F O O
7	Detta läge ligger nära specifikationen för ANSI-92 nivå 1 , men det är inte kompatibelt med ANSI-92 nivå 1 .	detta läge ligger nära specifikationen för ansi-92 nivå 1 men det är inte kompatibelt med ansi-92 nivå 1	detta ligger läge nära specifikationen för ansi-92 nivå 1 men det är inte kompatibelt med ansi-92 nivå 1	O F O O O O O O O O O C O O O O O O	detta läge nära specifikationen för ansi-92 nivå 1 men det är inte kompatibelt med ansi-92 ligger nivå 1	O O O O O O O O O O C O O O O F O O
8	Detta frågeläge innehåller mer ANSI-syntax och jokertecknen är anpassade till SQL-specifikationen .	detta frågeläge innehåller mer ansi-syntax och jokertecknen är anpassade till sql-specifikationen	detta frågeläge innehåller mer ansi-syntax och jokertecknen är anpassade till sql-specifikationen	O O C O O O O F F O O	detta anpassade frågeläge innehåller är mer ansi-syntax och jokertecknen till sql-specifikationen	O F O C F O O O O O O
9	Om du använder ADOX i Microsoft Access 2000 , kan du programmatiskt skapa frågor som använder ANSI-92 SQL-syntax .	om du använder adox i microsoft access 2000 kan du programmatiskt skapa frågor som använder ansi-92 sql-syntax	om du använder adox i microsoft access 2000 kan du programmatiskt frågor skapa använder som ansi-92 sql-syntax	O O C O O O O O C O O O F F O O O	om du adox i microsoft access använder kan 2000 du programmatiskt skapa frågor som använder ansi-92 sql-syntax	O O O O O O F F O O O C O O C O O
