idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
0	Í fyrstuni var orðið , og orðið var hjá Guði , og orðið var Guð .	í fyrstuni var orðið og orðið var hjá guði og orðið var guð	O O C O O O C O O O O C O	í fyrstuni var orðið og orðið var hjá guði og orðið var guð	O O C O O O C O O O O C O
1	Hetta var í fyrstuni hjá Guði .	hetta var í fyrstuni hjá guði	O C O O O O	hetta var í fyrstuni hjá guði	O C O O O O
2	Allir lutir eru vorðnir til við tí , og uttan tað varð einki til av tí , sum til er vorðið .	allir lutir eru vorðnir til við tí og uttan tað varð einki til av tí sum til er vorðið	O O C C O O O O O O C O O O O O O C C	allir lutir vorðnir til við tí eru varð og uttan tað einki til av tí vorðið sum til er	O O F O O O F F O O O O O O O F O O F
3	Í tí var lív , og lívið var ljós menniskjunnar .	í tí var lív og lívið var ljós menniskjunnar	O O C O O O C O O	í tí var lív og lívið var ljós menniskjunnar	O O C O O O C O O
4	Og ljósið skínur í myrkrinum , og myrkrið tók ikki við tí .	og ljósið skínur í myrkrinum og myrkrið tók ikki við tí	O O C O O O O C O O O	og ljósið skínur í myrkrinum og myrkrið tók ikki við tí	O O C O O O O C O O O
5	Maður kom , sendur frá Guði , hann æt Jóhannes .	maður kom sendur frá guði hann æt jóhannes	O C C O O O C O	maður kom frá guði sendur æt hann jóhannes	O C O O F F O O
6	Hesin kom til vitnisburðar , til tess at hann skuldi vitna um ljósið , fyri at allir skuldu trúgva við honum .	hesin kom til vitnisburðar til tess at hann skuldi vitna um ljósið fyri at allir skuldu trúgva við honum	O C O O O O O O C C O O O O O C C O O	hesin til vitnisburðar til tess kom at skuldi hann um ljósið vitna fyri at allir skuldu trúgva við honum	O O O O O F O F O O O F O O O C C O O
7	Hann var ikki ljósið , men hann skuldi vitna um ljósið .	hann var ikki ljósið men hann skuldi vitna um ljósið	O C O O O O C C O O	hann var ikki ljósið men hann skuldi vitna um ljósið	O C O O O O C C O O
8	Hitt sanna ljósið , sum upplýsir hvörja menniskju , var við at koma í heimin .	hitt sanna ljósið sum upplýsir hvörja menniskju var við at koma í heimin	O O O C O O C O O O C O O	hitt sanna ljósið upplýsir sum hvörja menniskju við at koma í heimin var	O O O F O O O O O F O O F
9	Hann var í heiminum , og heimurin er vorðin til við honum , og heimurin kendi hann ikki .	hann var í heiminum og heimurin er vorðin til við honum og heimurin kendi hann ikki	O C O O O O C C O O O O O C O O	hann var í heiminum og heimurin til er við vorðin honum og heimurin kendi hann ikki	O C O O O O O F O F O O O C O O
10	Hann kom til sítt egna , og hansara egnu tóku ikki í móti honum .	hann kom til sítt egna og hansara egnu tóku ikki í móti honum	O C O O O O O O C O O O O	hann kom til sítt egna og hansara egnu tóku ikki í móti honum	O C O O O O O O C O O O O
