idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
0	Dat is alvast meegenomen , mocht over zes maanden blijken dat de inhoud tegenvalt .	dat is alvast meegenomen mocht over zes maanden blijken dat de inhoud tegenvalt	O C O C C O O O C O O O C	dat is alvast meegenomen over zes maanden mocht blijken dat de inhoud tegenvalt	O C O C O O O F C O O O C
1	De breuk in de federale regering van Joegoslavië kan volgens de Servische premier Djindjic nog worden gelijmd .	de breuk in de federale regering van joegoslavië kan volgens de servische premier djindjic nog worden gelijmd	O O O O O O O O C O O O O O O C C	de breuk worden gelijmd in de federale regering van joegoslavië volgens de servische premier djindjic nog kan	O O F F O O O O O O O O O O O O F
2	Djindjic zei dat dit weekeinde in reactie op de ernstige politieke crisis in Joegoslavië .	djindjic zei dat dit weekeinde in reactie op de ernstige politieke crisis in joegoslavië	O C O O O O O O O O O O O O	djindjic zei dat dit weekeinde in reactie op de ernstige politieke crisis in joegoslavië	O C O O O O O O O O O O O O
3	Uit woede over de uitlevering van ex-president Milosevic stapte vrijdag de Montenegrijnse partij SNP uit de Joegoslavische regering .	uit woede over de uitlevering van ex-president milosevic stapte vrijdag de montenegrijnse partij snp uit de joegoslavische regering	O O O O O O O O C O O O O O O O O O	uit woede over de uitlevering van ex-president milosevic vrijdag de montenegrijnse partij snp uit de joegoslavische regering stapte	O O O O O O O O O O O O O O O O O F
4	Als de crisis niet wordt opgelost , is het niet ondenkbaar dat de federatie Joegoslavië definitief uiteenvalt .	als de crisis niet wordt opgelost is het niet ondenkbaar dat de federatie joegoslavië definitief uiteenvalt	O O O O C C C O O O O O O O O C	als de crisis niet wordt opgelost is het niet ondenkbaar dat uiteenvalt de federatie joegoslavië definitief	O O O O C C C O O O O F O O O O
5	Alleen Servië en Montenegro maken er nog deel van uit .	alleen servië en montenegro maken er nog deel van uit	O O O O C O O O O O	alleen maken servië en montenegro er nog deel van uit	O F O O O O O O O O
6	Verkiezingen lossen op dit moment niets op , vindt Djindjic .	verkiezingen lossen op dit moment niets op vindt djindjic	O C O O O O O C O	verkiezingen lossen op dit moment niets op djindjic vindt	O C O O O O O O F
7	Volgens de Servische premier kan beter de federale grondwet worden vernieuwd .	volgens de servische premier kan beter de federale grondwet worden vernieuwd	O O O O C O O O O C C	volgens de servische premier beter vernieuwd de federale grondwet worden kan	O O O O O F O O O C F
8	Die regelt de verhouding tussen het machtige Servië en kleine buur Montenegro .	die regelt de verhouding tussen het machtige servië en kleine buur montenegro	O C O O O O O O O O O O	die regelt de verhouding tussen het machtige servië en kleine buur montenegro	O C O O O O O O O O O O
9	,, We hebben een concept nodig voor verandering '' , zei Djindjic in een interview met de Duitse televisie .	,, we hebben een concept nodig voor verandering '' zei djindjic in een interview met de duitse televisie	O O C O O O O O O C O O O O O O O O	,, we een concept nodig voor verandering '' hebben zei djindjic in een interview met de duitse televisie	O O O O O O O O F C O O O O O O O O
10	De Montenegrijnse partij SNP is woest dat zij buiten de uitlevering van Milosevic is gehouden .	de montenegrijnse partij snp is woest dat zij buiten de uitlevering van milosevic is gehouden	O O O O C O O O O O O O O C C	de montenegrijnse partij snp woest is dat is zij buiten de uitlevering van milosevic gehouden	O O O O O F O F O O O O O O C
11	Politieke waarnemers denken dat de Montenegrijnse ministers van de partij SNP , de voormalige bondgenoten van Milosevic , snel op hun schreden terug zullen keren en in de nieuwe regering plaats zullen nemen .	politieke waarnemers denken dat de montenegrijnse ministers van de partij snp de voormalige bondgenoten van milosevic snel op hun schreden terug zullen keren en in de nieuwe regering plaats zullen nemen	O O C O O O O O O O O O O O O O O O O O O C C O O O O O O C C	politieke waarnemers denken keren dat de montenegrijnse ministers van de partij snp de voormalige bondgenoten van milosevic snel zullen op hun schreden terug en in de nieuwe regering plaats zullen nemen	O O C F O O O O O O O O O O O O O O F O O O O O O O O O O C C
12	In Montenegro zelf is weinig animo voor de dialoog die Servië aanbiedt .	in montenegro zelf is weinig animo voor de dialoog die servië aanbiedt	O O O C O O O O O O O C	in montenegro zelf is weinig animo voor de dialoog aanbiedt die servië	O O O C O O O O O F O O
